Events Sent, Average throughput (events/second)
1407908, 996.7980862385895
1408008, 996.7983136459452
1408108, 996.7985410210011
1408209, 996.7980605151649
1408309, 996.7982878757432
1408409, 996.7985152040352
1408509, 996.798742500048
1408610, 996.7982621165546
1408710, 996.7984893981018
1408810, 996.7987166473833
1408911, 996.7982363683725
1409011, 996.798463603194
1409111, 996.7986908057634
1409211, 996.7989179760873
1409312, 996.7984378193048
1409412, 996.798664975181
1409512, 996.7988920988257
1409613, 996.798412046427
1409713, 996.7986391556295
1409813, 996.7988662326138
1409914, 996.7983862845535
1410014, 996.7986133471015
1410114, 996.7988403774447
1410214, 996.7990673755897
1410315, 996.7985875495899
1410415, 996.7988145333111
1410515, 996.7990414848477
1410615, 996.7992684042066
1410716, 996.7987887002062
1410816, 996.7990156051534
1410916, 996.7992424779363
1411017, 996.7987628781226
1411117, 996.7989897364995
1411217, 996.7992165627256
1411317, 996.7994433568078
1411418, 996.7989638788792
1411518, 996.7991906585676
1411618, 996.7994174061255
1411719, 996.7989380322855
1411819, 996.7991647654551
1411919, 996.7993914665077
1412019, 996.79961813545
1412120, 996.799138883381
1412220, 996.7993655379473
1412320, 996.7995921604169
1412421, 996.7991130123384
1412521, 996.7993396204375
1412621, 996.7995661964533
1412721, 996.7997927403924
1412822, 996.7993137139711
1412922, 996.799540243552
1413022, 996.7997667410699
1413123, 996.7992878185408
1413223, 996.7995143017062
1413323, 996.7997407528215
1413423, 996.799967171894
1413524, 996.7994883709085
1413624, 996.7997147756405
1413724, 996.7999411483429
1413825, 996.7994624511521
1413925, 996.7996888095196
1414025, 996.799915135871
1414125, 996.800141430213
1414226, 996.7996628544519
1414326, 996.7998891344712
1414426, 996.8001153824944
1414527, 996.7996369104302
1414627, 996.7998631441362
1414727, 996.8000893458596
1414827, 996.8003155156072
1414928, 996.7998371648594
1415028, 996.8000633203018
1415128, 996.8002894437817
1415229, 996.7998111966332
1415329, 996.8000373058137
1415429, 996.8002633830449
1415529, 996.8004894283339
1415630, 996.8000113023884
1415730, 996.8002373333899
1415830, 996.8004633324622
1415930, 996.8006892996123
1416031, 996.8002112948092
1416131, 996.8004372476839
1416231, 996.8006631686497
1416332, 996.8001852672961
1416432, 996.8004111739921
1416532, 996.8006370487924
1416632, 996.8008628917037
1416733, 996.8003851113795
1416833, 996.8006109400332
1416933, 996.8008367368111
1417034, 996.8003590598391
1417134, 996.8005848423649
1417234, 996.8008105930284
1417335, 996.8003330193637
1417435, 996.8005587557807
1417535, 996.8007844603485
1417635, 996.8010101330738
1417736, 996.8005326802734
1417836, 996.8007583387641
1417936, 996.8009839654259
1418036, 996.8012095602651
1418137, 996.8007322282684
1418237, 996.8009578088852
1418337, 996.8011833576928
1418438, 996.8007061288544
1418538, 996.8009316634451
1418638, 996.8011571662397
1418738, 996.8013826372452
1418839, 996.800905529098
1418939, 996.8011309858986
1419039, 996.8013564109232
1419140, 996.8008794058373
1419240, 996.8011048166624
1419340, 996.8013301957249
1419440, 996.8015555430311
1419541, 996.801078658524
1419641, 996.801303991643
1419741, 996.8015292930189
1419842, 996.8010525114767
1419942, 996.8012777986706
1420042, 996.8015030541351
1420143, 996.801026375513
1420243, 996.8012516168008
1420343, 996.8014768263722
1420443, 996.8017020042339
1420544, 996.8012254460264
1420644, 996.8014506097235
1420744, 996.8016757417241
1420845, 996.8011992863402
1420945, 996.8014244041817
1421045, 996.8016494903399
1421146, 996.8011731377353
1421246, 996.8013982097399
1421346, 996.8016232500743
1421446, 996.8018482587449
1421547, 996.8013720263909
1421647, 996.8015970209201
1421747, 996.8018219837988
1421848, 996.8013458541278
1421948, 996.8015708028705
1422048, 996.8017957199758
1422148, 996.8020206054504
1422249, 996.8015445959181
1422349, 996.8017694672686
1422449, 996.8019943070016
1422550, 996.8015184000562
1422650, 996.8017432256704
1422750, 996.8019680196802
1422851, 996.8014922152776
1422951, 996.801716995174
1423051, 996.8019417434793
1423152, 996.8014660415753
1423252, 996.8016907757726
1423352, 996.8019154783918
1423453, 996.8014398789422
1423553, 996.801664567459
1423653, 996.8018892244107
1423753, 996.802113849804
1423854, 996.8016383702262
1423954, 996.801862981529
1424054, 996.8020875612863
1424154, 996.802312109505
1424255, 996.8018367497393
1424355, 996.8020612838794
1424455, 996.8022857864937
1424556, 996.801810529035
1424656, 996.8020350175761
1424756, 996.8022594746047
1424856, 996.8024839001275
1424957, 996.8020087623697
1425057, 996.802233173831
1425157, 996.8024575537994
1425258, 996.8019825182528
1425358, 996.8022068841652
1425458, 996.8024312185978
1425558, 996.8026555215572
1425659, 996.8021806056007
1425759, 996.8024048945159
1425859, 996.8026291519708
1425960, 996.8021543381301
1426060, 996.8023785815465
1426160, 996.8026027935153
1426260, 996.802826974044
1426361, 996.8023522796824
1426461, 996.8025764461839
1426561, 996.802800581258
1426662, 996.8023259889168
1426762, 996.8025501099693
1426862, 996.8027741996073
1426962, 996.8029982578372
1427063, 996.8025237848644
1427163, 996.8027478290848
1427263, 996.80297184191
1427363, 996.803195823347
1427464, 996.8027214696833
1427564, 996.8029454371223
1427664, 996.8031693731858
1427765, 996.802695121396
1427865, 996.802919043467
1427965, 996.8031429341756
1428065, 996.8033667935283
1428166, 996.8028926609371
1428266, 996.803116506309
1428366, 996.8033403203381
1428467, 996.8028662895257
1428567, 996.8030900895792
1428667, 996.8033138583029
1428767, 996.8035375957031
1428868, 996.8030636839792
1428968, 996.8032874074157
1429068, 996.8035110995418
1429169, 996.8030372895018
1429269, 996.8032609676694
1429369, 996.8034846145397
1429469, 996.803708230119
1429570, 996.8032345390571
1429670, 996.8034581406898
1429770, 996.8036817110444
1429871, 996.8032081215719
1429971, 996.8034316779851
1430071, 996.8036552031333
1430171, 996.8038786970229
1430272, 996.8034052264185
1430372, 996.8036287063785
1430472, 996.8038521550928
1430573, 996.8033787859829
1430673, 996.803602220773
1430773, 996.8038256243303
1430873, 996.8040489966615
1430974, 996.8035757463099
1431074, 996.8037991047283
1431174, 996.8040224319335
1431274, 996.804245727932
1431375, 996.8037725962798
1431475, 996.8039958783772
1431575, 996.8042191292807
1431676, 996.8037460989777
1431776, 996.8039693359855
1431876, 996.8041925418123
1431976, 996.8044157164645
1432077, 996.8039428047514
1432177, 996.8041659655196
1432277, 996.8043890951261
1432378, 996.8039162846679
1432478, 996.8041394003957
1432578, 996.8043624849746
1432679, 996.8038897757278
1432779, 996.8041128464334
1432879, 996.804335886003
1432979, 996.804558894443
1433080, 996.8040863036257
1433180, 996.804309298204
1433280, 996.8045322616656
1433380, 996.8047551940169
1433481, 996.8042827215708
1433581, 996.804505640072
1433681, 996.8047285274758
1433782, 996.8042561560962
1433882, 996.8044790296552
1433982, 996.8047018721295
1434083, 996.8042296017734
1434183, 996.8044524304081
1434283, 996.804675227971
1434383, 996.8048979944687
1434484, 996.8044258423238
1434584, 996.8046485949934
1434684, 996.8048713166104
1434785, 996.8043992653952
1434885, 996.8046219731896
1434985, 996.8048446499441
1435085, 996.8050672956655
1435186, 996.8045953625523
1435286, 996.8048179944624
1435386, 996.805040595352
1435487, 996.8045687630749
1435587, 996.8047913501586
1435687, 996.8050139062344
1435787, 996.8052364313091
1435888, 996.8047647170253
1435988, 996.8049872283055
1436088, 996.8052097085972
1436189, 996.8047380950558
1436289, 996.8049605615583
1436389, 996.8051829970851
1436489, 996.8054054016425
1436590, 996.8049339059856
1436690, 996.8051562967655
1436790, 996.8053786565887
1436891, 996.8049072615808
1436991, 996.8051296076314
1437091, 996.8053519227383
1437191, 996.8055742069077
1437292, 996.8051029296761
1437392, 996.8053252000846
1437492, 996.8055474395684
1437593, 996.8050762628922
1437693, 996.8052984886203
1437793, 996.8055206834363
1437893, 996.8057428473468
1437994, 996.8052717883385
1438094, 996.8054939385047
1438194, 996.805716057778
1438295, 996.805245099232
1438395, 996.8054672047664
1438495, 996.8056892794204
1438595, 996.8059113232007
1438696, 996.8054404822144
1438796, 996.8056625122672
1438896, 996.8058845114588
1438997, 996.8054137708417
1439097, 996.8056357563111
1439197, 996.8058577109318
1439297, 996.8060796347106
1439398, 996.8056090115451
1439498, 996.8058309216129
1439598, 996.8060528008514
1439699, 996.8055822779622
1439799, 996.805804143495
1439899, 996.806025978211
1440000, 996.8055555555555
1440100, 996.8057773765711
1440200, 996.8059991667824
1440300, 996.8062209261959
1440401, 996.8057506208341
1440501, 996.8059723665585
1440601, 996.806194081498
1440702, 996.8057238762769
1440802, 996.8059455775325
1440902, 996.8061672480155
1441003, 996.8056971428928
1441103, 996.8059187996971
1441203, 996.8061404257415
1441303, 996.8063620210323
1441404, 996.8058920330456
1441504, 996.8061136146691
1441604, 996.8063351655517
1441705, 996.8058652775707
1441805, 996.8060868147912
1441905, 996.8063083212833
1442006, 996.8058385332654
1442106, 996.8060600261007
1442206, 996.8062814882202
1442306, 996.8065029196301
1442407, 996.8060332485908
1442507, 996.8062546663552
1442607, 996.8064760534228
1442708, 996.8060064822542
1442808, 996.8062278556814
1442908, 996.8064491984243
1443009, 996.8059797270841
1443109, 996.8062010561919
1443209, 996.8064223546278
1443309, 996.8066436223983
1443410, 996.8061742678796
1443510, 996.8063955220263
1443610, 996.8066167455199
1443711, 996.8061474907373
1443811, 996.8063687006124
1443911, 996.8065898798471
1444012, 996.8061207247584
1444112, 996.8063418903796
1444212, 996.806563025373
1444312, 996.8067841297448
1444413, 996.8063150913208
1444513, 996.8065361820904
1444613, 996.806757242251
1444714, 996.8062883034289
1444814, 996.8065093499924
1444914, 996.8067303659594
1445015, 996.806261526697
1445115, 996.8064825290721
1445215, 996.8067035008633
1445315, 996.8069244420766
1445416, 996.8064557193223
