events count, average value,lower bound - 0.3, upper bound - 0.3, timeSpent
121,5187.04615385,3630.93230769,6743.16,475
122,5174.625,3622.2375,6727.0125,480
123,5098.41269841,3568.88888889,6627.93650794,481
124,5097.09677419,3567.96774194,6626.22580645,481
125,5025.3442623,3517.74098361,6532.94754098,481
126,5037.86666667,3526.50666667,6549.22666667,482
127,5046.08474576,3532.25932203,6559.91016949,482
128,4772.93023256,3341.05116279,6204.80930233,486
129,5012.48275862,3508.73793103,6516.22758621,487
130,4938.71929825,3457.10350877,6420.33508772,487
131,4909.0,3436.3,6381.7,487
132,5013.98214286,3509.7875,6518.17678571,489
133,4969.6,3478.72,6460.48,489
134,5425.83884298,3798.08719008,7053.59049587,492
135,5432.18106996,3802.52674897,7061.83539095,492
136,5441.20081967,3808.84057377,7073.56106557,492
137,5457.24897959,3820.07428571,7094.42367347,493
138,5452.33739837,3816.63617886,7088.03861789,493
139,5432.47368421,3802.73157895,7062.21578947,493
140,5449.70564516,3814.79395161,7084.61733871,495
141,5437.08032129,3805.9562249,7068.20441767,497
142,5455.58964143,3818.912749,7092.26653386,503
143,5004.90740741,3503.43518519,6506.37962963,508
144,5021.35849057,3514.9509434,6527.76603774,509
145,5080.67307692,3556.47115385,6604.875,511
146,5164.49019608,3615.14313725,6713.8372549,513
147,5130.1,3591.07,6669.13,515
148,5099.7755102,3569.84285714,6629.70816327,520
149,4999.9375,3499.95625,6499.91875,522
150,4919.34042553,3443.53829787,6395.14255319,524
151,4829.63043478,3380.74130435,6278.51956522,526
152,4778.53333333,3344.97333333,6212.09333333,527
153,5492.34082397,3844.63857678,7140.04307116,768
154,4872.0,3410.4,6333.6,770
155,5504.60333333,3853.22233333,7155.98433333,772
156,4798.16666667,3358.71666667,6237.61666667,773
157,5511.55960265,3858.09172185,7165.02748344,796
158,4893.4,3425.38,6361.42,797
159,5009.76923077,3506.83846154,6512.7,797
160,5090.86842105,3563.60789474,6618.12894737,797
161,4984.91891892,3489.44324324,6480.39459459,812
162,5009.63888889,3506.74722222,6512.53055556,813
163,5481.11254019,3836.77877814,7125.44630225,817
164,4907.91428571,3435.54,6380.28857143,817
165,4992.02941176,3494.42058824,6489.63823529,818
166,5086.96969697,3560.87878788,6613.06060606,825
167,5167.75,3617.425,6718.075,827
168,5066.19354839,3546.33548387,6586.0516129,828
169,4977.0,3483.9,6470.1,833
170,4935.5862069,3454.91034483,6416.26206897,844
171,5462.12342569,3823.48639798,7100.7604534,844
172,5462.5775,3823.80425,7101.35075,844
173,4991.71428571,3494.2,6489.22857143,848
174,5155.25925926,3608.68148148,6701.83703704,848
175,5273.34615385,3691.34230769,6855.35,851
176,5233.28,3663.296,6803.264,860
177,5170.79166667,3619.55416667,6722.02916667,860
178,5103.7826087,3572.64782609,6634.9173913,865
179,4933.18181818,3453.22727273,6413.13636364,865
180,4741.66666667,3319.16666667,6164.16666667,880
181,4908.05,3435.635,6380.465,880
182,4725.10526316,3307.57368421,6142.63684211,880
183,5477.27139364,3834.08997555,7120.45281174,880
184,5481.26829268,3836.88780488,7125.64878049,881
185,5475.23844282,3832.66690998,7117.80997567,881
186,4941.55555556,3459.08888889,6424.02222222,881
187,5225.64705882,3657.95294118,6793.34117647,882
188,5135.5,3594.85,6676.15,882
189,5449.46666667,3814.62666667,7084.30666667,882
190,5546.0,3882.2,7209.8,885
191,5829.84615385,4080.89230769,7578.8,889
192,5828.91666667,4080.24166667,7577.59166667,893
193,5519.09090909,3863.36363636,7174.81818182,894
194,5462.0521327,3823.43649289,7100.66777251,896
195,5639.2,3947.44,7330.96,897
196,5912.33333333,4138.63333333,7686.03333333,897
197,5962.0,4173.4,7750.6,898
198,6135.42857143,4294.8,7976.05714286,898
199,5921.33333333,4144.93333333,7697.73333333,901
200,5904.6,4133.22,7675.98,907
201,5383.75,3768.625,6998.875,912
202,5480.90825688,3836.63577982,7125.18073394,912
203,5548.0,3883.6,7212.4,912
204,6070.0,4249.0,7891.0,913
205,5476.26086957,3833.3826087,7119.13913043,917
206,5488.84827586,3842.1937931,7135.50275862,921
207,5490.25806452,3843.18064516,7137.33548387,921
208,5485.04387991,3839.53071594,7130.55704388,923
209,5495.30787037,3846.71550926,7143.90023148,923
210,5497.08352668,3847.95846868,7146.20858469,928
211,5488.69534884,3842.08674419,7135.30395349,928
212,5488.57575758,3842.0030303,7135.14848485,929
213,5486.11448598,3840.28014019,7131.94883178,929
214,5482.60187354,3837.82131148,7127.3824356,929
215,5480.28873239,3836.20211268,7124.37535211,929
216,5472.60470588,3830.82329412,7114.38611765,930
217,5480.53773585,3836.37641509,7124.6990566,931
218,5480.02891566,3836.02024096,7124.03759036,931
219,5469.12259615,3828.38581731,7109.859375,931
220,5466.3047619,3826.41333333,7106.19619048,931
221,5471.43026005,3830.00118203,7112.85933806,934
222,5468.0,3827.6,7108.4,935
223,5471.45107399,3830.01575179,7112.88639618,935
224,5466.05980861,3826.24186603,7105.8777512,935
225,5465.21342926,3825.64940048,7104.77745803,935
226,5485.29951691,3839.70966184,7130.88937198,935
227,5442.31081081,3809.61756757,7075.00405405,937
228,5477.30992736,3834.11694915,7120.50290557,938
229,5473.03883495,3831.12718447,7114.95048544,938
230,5482.87960688,3838.01572482,7127.74348894,938
231,5474.20588235,3831.94411765,7116.46764706,938
232,5472.56157635,3830.79310345,7114.33004926,939
233,5466.87160494,3826.81012346,7106.93308642,939
234,5469.1980198,3828.43861386,7109.95742574,940
235,5466.09181141,3826.26426799,7105.91935484,947
236,5462.42039801,3823.69427861,7101.14651741,947
237,5450.25112108,3815.17578475,7085.3264574,948
238,5449.02710027,3814.31897019,7083.73523035,948
239,5454.98753117,3818.49127182,7091.48379052,948
240,5458.50125313,3820.95087719,7096.05162907,948
241,5455.44974874,3818.81482412,7092.08467337,952
