Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 95, avgHumidity : 5572.073684210526, timeSpent : 78
     [java] Event: count : 94, avgHumidity : 5535.031914893617, timeSpent : 78
     [java] Event: count : 93, avgHumidity : 5585.602150537635, timeSpent : 82
     [java] Event: count : 92, avgHumidity : 5603.010869565217, timeSpent : 82
     [java] Event: count : 86, avgHumidity : 5599.476744186047, timeSpent : 82
     [java] Event: count : 84, avgHumidity : 5597.357142857143, timeSpent : 82
     [java] Event: count : 81, avgHumidity : 5661.358024691358, timeSpent : 83
     [java] Event: count : 79, avgHumidity : 5599.329113924051, timeSpent : 85
     [java] Event: count : 97, avgHumidity : 5563.670103092783, timeSpent : 85
     [java] Event: count : 96, avgHumidity : 5557.25, timeSpent : 85
     [java] Event: count : 99, avgHumidity : 5585.393939393939, timeSpent : 85
     [java] Event: count : 98, avgHumidity : 5564.0204081632655, timeSpent : 86
     [java] Event: count : 102, avgHumidity : 5640.431372549019, timeSpent : 86
     [java] Event: count : 101, avgHumidity : 5638.6138613861385, timeSpent : 86
     [java] Event: count : 100, avgHumidity : 5617.75, timeSpent : 86
     [java] Event: count : 103, avgHumidity : 5662.174757281553, timeSpent : 86
     [java] Event: count : 105, avgHumidity : 5629.885714285714, timeSpent : 86
     [java] Event: count : 106, avgHumidity : 5669.301886792453, timeSpent : 87
     [java] Event: count : 109, avgHumidity : 5700.064220183486, timeSpent : 87
     [java] Event: count : 104, avgHumidity : 5639.557692307692, timeSpent : 87
     [java] Event: count : 110, avgHumidity : 5732.418181818181, timeSpent : 87
     [java] Event: count : 108, avgHumidity : 5693.425925925926, timeSpent : 87
     [java] Event: count : 107, avgHumidity : 5684.336448598131, timeSpent : 87
     [java] Event: count : 112, avgHumidity : 5647.0, timeSpent : 87
     [java] Event: count : 111, avgHumidity : 5682.990990990991, timeSpent : 88
     [java] Event: count : 113, avgHumidity : 5648.238938053098, timeSpent : 88
     [java] Event: count : 114, avgHumidity : 5604.859649122807, timeSpent : 88
     [java] Event: count : 115, avgHumidity : 5630.791304347826, timeSpent : 88
     [java] Event: count : 116, avgHumidity : 5593.362068965517, timeSpent : 89
     [java] Event: count : 117, avgHumidity : 5548.401709401709, timeSpent : 89
     [java] Event: count : 118, avgHumidity : 5560.949152542373, timeSpent : 89
     [java] Event: count : 119, avgHumidity : 5584.563025210084, timeSpent : 89
     [java] Event: count : 121, avgHumidity : 5537.0495867768595, timeSpent : 90
     [java] Event: count : 120, avgHumidity : 5568.583333333333, timeSpent : 90
     [java] Event: count : 122, avgHumidity : 5570.1557377049185, timeSpent : 90
     [java] Event: count : 123, avgHumidity : 5595.642276422765, timeSpent : 90
     [java] Event: count : 124, avgHumidity : 5600.790322580645, timeSpent : 90
     [java] Event: count : 125, avgHumidity : 5564.6, timeSpent : 90
     [java] Event: count : 126, avgHumidity : 5598.484126984127, timeSpent : 91
     [java] Event: count : 127, avgHumidity : 5603.220472440945, timeSpent : 91
     [java] Event: count : 128, avgHumidity : 5598.28125, timeSpent : 91
     [java] Event: count : 129, avgHumidity : 5608.3178294573645, timeSpent : 91
     [java] Event: count : 130, avgHumidity : 5596.492307692308, timeSpent : 92
     [java] Event: count : 131, avgHumidity : 5616.0687022900765, timeSpent : 92
     [java] Event: count : 132, avgHumidity : 5594.780303030303, timeSpent : 92
     [java] Event: count : 133, avgHumidity : 5602.887218045113, timeSpent : 92
     [java] Event: count : 134, avgHumidity : 5579.126865671642, timeSpent : 93
     [java] Event: count : 135, avgHumidity : 5600.34074074074, timeSpent : 93
     [java] Event: count : 136, avgHumidity : 5582.308823529412, timeSpent : 93
     [java] Event: count : 137, avgHumidity : 5614.2773722627735, timeSpent : 93
     [java] Event: count : 138, avgHumidity : 5605.565217391304, timeSpent : 94
     [java] Event: count : 139, avgHumidity : 5583.661870503597, timeSpent : 94
     [java] Event: count : 140, avgHumidity : 5548.314285714286, timeSpent : 94
     [java] Event: count : 141, avgHumidity : 5533.780141843971, timeSpent : 95
     [java] Event: count : 142, avgHumidity : 5500.267605633803, timeSpent : 95
     [java] Event: count : 143, avgHumidity : 5513.762237762237, timeSpent : 95
     [java] Event: count : 144, avgHumidity : 5529.430555555556, timeSpent : 95
     [java] Event: count : 145, avgHumidity : 5515.9655172413795, timeSpent : 96
     [java] Event: count : 146, avgHumidity : 5490.068493150685, timeSpent : 96
