events count, average value
175,4.43646408839779
176,4.416666666666667
177,4.402234636871508
178,4.410112359550562
179,4.401129943502825
180,4.3977272727272725
181,4.411428571428571
182,4.385057471264368
183,4.428571428571429
184,4.38728323699422
185,4.366279069767442
186,4.374269005847953
187,4.4
188,4.384615384615385
189,4.410714285714286
190,4.401197604790419
191,4.397590361445783
192,4.393939393939394
193,4.402439024390244
194,4.41717791411043
195,4.438271604938271
196,4.447204968944099
197,4.41875
198,4.39622641509434
199,4.379746835443038
200,4.3630573248407645
201,4.340136054421769
202,4.302013422818792
203,4.450704225352113
204,4.445614035087719
205,4.445229681978798
206,4.443262411347518
207,4.484276729559748
208,4.437722419928826
209,4.420863309352518
210,4.4296028880866425
211,4.442028985507246
212,4.458181818181818
213,4.4416058394160585
214,4.4375
215,4.443223443223443
216,4.439114391143911
217,4.448148148148148
218,4.425619834710743
219,4.454005934718101
220,4.438661710037175
221,4.447761194029851
222,4.46067415730337
223,4.477443609022556
224,4.460377358490566
225,4.446969696969697
226,4.437262357414449
227,4.435114503816794
228,4.42911877394636
229,4.411538461538462
230,4.428571428571429
231,4.441860465116279
232,4.443579766536965
233,4.44921875
234,4.458823529411765
235,4.44488188976378
236,4.434782608695652
237,4.426294820717131
238,4.428
239,4.433734939759036
240,4.443548387096774
241,4.437246963562753
242,4.469387755102041
243,4.450819672131147
244,4.436213991769547
245,4.410788381742739
246,4.391666666666667
247,4.376569037656904
248,4.382352941176471
249,4.362869198312236
250,4.372881355932203
251,4.3872340425531915
252,4.397435897435898
253,4.412017167381975
254,4.431034482758621
255,4.434402332361516
256,4.415584415584416
257,4.404347826086957
258,4.406113537117904
259,4.425438596491228
260,4.422907488986784
261,4.442477876106195
262,4.435555555555555
263,4.450892857142857
264,4.448430493273543
265,4.427927927927928
266,4.476923076923077
267,4.465714285714285
268,4.425339366515837
269,4.427272727272728
270,4.424657534246576
271,4.431192660550459
272,4.442396313364055
273,4.458333333333333
274,4.47906976744186
275,4.457943925233645
276,4.44131455399061
277,4.429245283018868
278,4.421800947867299
279,4.419047619047619
280,4.421052631578948
281,4.427884615384615
282,4.4396135265700485
283,4.456310679611651
284,4.478048780487805
285,4.455882352941177
286,4.438423645320197
287,4.425742574257426
288,4.506142506142506
289,4.5073891625615765
290,4.506172839506172
291,4.502475247524752
292,4.493796526054591
293,4.497512437810945
294,4.491271820448878
295,4.48
296,4.491228070175438
297,4.482412060301508
298,4.478589420654912
299,4.472222222222222
300,4.478481012658228
301,4.467005076142132
302,4.470737913486005
303,4.471938775510204
304,4.470588235294118
305,4.47948717948718
306,4.467866323907455
307,4.458762886597938
308,4.470284237726098
309,4.463730569948186
310,4.45974025974026
311,4.458333333333333
312,4.45953002610966
313,4.465968586387435
314,4.475065616797901
315,4.4868421052631575
316,4.474934036939314
317,4.465608465608466
