event count, events value, impact
90,2.0,0.004363264323543477
91,3.0,0.0025126384207991865
92,4.0,6.553079947576966E-4
93,5.0,0.0011289423667778051
94,6.0,0.002917396015670532
95,7.0,0.00476928736598688
96,8.0,0.006315176673078882
97,9.0,0.007730325687491961
98,0.0,0.006993006993007002
99,1.0,0.0053570811396182975
100,2.0,0.003721155286229593
101,3.0,0.0020923814694171847
102,4.0,4.750271444080904E-4
103,5.0,0.001142327180600797
104,6.0,0.002759681505609891
105,7.0,0.0043770358306189855
106,8.0,0.0059943901556280795
107,9.0,0.007611744480637174
108,0.0,0.00694444444444426
109,1.0,0.0053270901194353735
110,2.0,0.003709735794426279
111,3.0,0.0020923814694171847
112,4.0,4.750271444080904E-4
113,5.0,0.001142327180600797
114,6.0,0.00291720399143611
115,7.0,0.004169686275745394
116,8.0,0.005724128514562362
117,9.0,0.007316067125458546
118,0.0,0.006369426751592321
119,1.0,0.004914623569676593
120,2.0,0.0034598203877608653
121,3.0,0.0020050172058453403
122,4.0,5.502140239296129E-4
123,5.0,9.045891579861148E-4
124,6.0,0.0023593923399018424
125,7.0,0.0029014833033882293
126,8.0,0.004056584148117193
127,9.0,0.005134466149317752
128,0.0,0.004950495049504943
129,1.0,0.004017816562130767
130,2.0,0.002854285974002411
131,3.0,0.0016848681621409718
132,4.0,5.103797717433571E-4
133,5.0,6.785738742832235E-4
134,6.0,0.001861409067988089
135,7.0,0.0030442442616929544
136,8.0,0.00422707945539782
137,9.0,0.0054099146491024845
138,0.0,0.005235602094240903
139,1.0,0.004052766900536037
140,2.0,0.002891913932626494
141,3.0,0.0017062919515713996
142,4.0,2.6130128037642425E-4
143,5.0,7.580664154497785E-4
144,6.0,0.0021044748174498984
145,7.0,0.0034225311586631134
146,8.0,0.004810541628503033
147,9.0,0.00613440268466703
148,0.0,0.005780346820809347
149,1.0,0.004456485764645351
150,2.0,0.0031326247084811506
151,3.0,0.0018087636523171535
152,4.0,4.849025961531569E-4
153,5.0,8.389584600108399E-4
154,6.0,0.0021628195161748367
155,7.0,0.0034866805723390367
156,8.0,0.004810541628503033
157,9.0,0.00613440268466703
158,0.0,0.005780346820809347
159,1.0,0.004484827757741527
160,2.0,0.0031897926634768836
161,3.0,0.0018607123870281485
162,4.0,5.316321105794133E-4
163,5.0,7.974481658693218E-4
164,6.0,0.002184959349593423
165,7.0,0.0038251871015430343
166,8.0,0.0027981345769485604
167,9.0,0.0035864978902953202
168,0.0,0.003508771929824721
169,1.0,0.0027204086164779612
170,2.0,0.0019234908737672239
171,3.0,0.0011477753744371206
172,4.0,3.4977563172896876E-4
173,5.0,4.6953696655802437E-4
174,6.0,0.0014357034432895945
175,7.0,0.002166436308701069
176,8.0,0.003092846024783316
177,9.0,0.003978397097625297
178,0.0,0.003906250000000033
179,1.0,0.003195384962254199
180,2.0,0.0022597179683008506
181,3.0,0.0013253623597089556
182,4.0,3.7399924378183204E-4
183,5.0,5.830903790087443E-4
184,6.0,0.001550772284597552
185,7.0,0.002506734510625548
186,8.0,0.0023374310046939007
187,9.0,0.002992981973303955
188,0.0,0.004310344827586335
189,1.0,8.059059737883532E-4
190,2.0,0.00236321756558687
191,3.0,0.001387512388503477
192,4.0,4.024911170642435E-4
193,5.0,0.0011420346622129825
194,6.0,0.00173574584472961
195,7.0,0.0016168045598627624
196,8.0,0.0036386079330864855
197,9.0,0.0046564969877853956
198,0.0,0.004504504504504396
199,1.0,0.0034866154498054856
200,2.0,0.002468726395106776
201,3.0,0.0014508373404078657
202,4.0,4.362510554461588E-4
203,5.0,5.878168777537624E-4
204,6.0,0.0016835527513195015
205,7.0,0.0027726625931195105
206,8.0,0.0038799001851405244
207,9.0,0.00503797523448884
208,0.0,0.002457002457002542
209,1.0,0.002099011844774467
210,2.0,0.0015236540489065359
211,3.0,4.775191576325113E-5
212,4.0,2.8833750663936664E-4
213,5.0,3.7143379340029295E-4
214,6.0,0.0010538994278831795
215,7.0,0.0017645905496372655
216,8.0,0.002505300535314778
217,9.0,0.0032701875686155265
218,0.0,0.003236245954692703
219,1.0,0.0025202567112188414
220,2.0,0.0017989509731673498
221,3.0,0.0011064826868002775
222,4.0,3.629311839140813E-4
223,5.0,2.7314577323567745E-4
224,6.0,8.16772482895109E-4
225,7.0,0.001360399192554343
226,8.0,0.0019040259022137746
227,9.0,0.002447652611873206
228,0.0,0.0024449877750610852
229,1.0,0.001901361065401851
230,2.0,0.0013577343557424197
231,3.0,8.141076460829881E-4
232,4.0,2.7048093642375405E-4
233,5.0,2.7314577323567745E-4
234,6.0,8.16772482895109E-4
235,7.0,0.001360399192554343
236,8.0,0.0019040259022137746
237,9.0,0.002447652611873206
238,0.0,0.0024449877750610852
239,1.0,0.001901361065401851
240,2.0,0.0013577343557424197
241,3.0,8.141076460829881E-4
242,4.0,2.7048093642375405E-4
243,5.0,2.7314577323567745E-4
244,6.0,8.16772482895109E-4
245,7.0,0.001360399192554343
246,8.0,0.0019040259022137746
247,9.0,0.002447652611873206
248,0.0,0.0024449877750610852
249,1.0,0.001901361065401851
250,2.0,0.0013577343557424197
251,3.0,8.141076460829881E-4
252,4.0,2.7048093642375405E-4
253,5.0,2.7314577323567745E-4
254,6.0,8.16772482895109E-4
255,7.0,0.001360399192554343
256,8.0,0.0019040259022137746
257,9.0,0.002447652611873206
258,0.0,0.0024449877750610852
259,1.0,0.001901361065401851
260,2.0,0.0013577343557424197
261,3.0,8.141076460829881E-4
262,4.0,2.7048093642375405E-4
263,5.0,2.7314577323567745E-4
264,6.0,8.16772482895109E-4
265,7.0,0.001360399192554343
266,8.0,0.0019040259022137746
267,9.0,0.002447652611873206
268,0.0,0.0024449877750610852
269,1.0,0.001901361065401851
270,2.0,0.0013577343557424197
271,3.0,8.141076460829881E-4
272,4.0,2.7048093642375405E-4
273,5.0,2.7314577323567745E-4
274,6.0,8.16772482895109E-4
275,7.0,0.001360399192554343
276,8.0,0.0019040259022137746
277,9.0,0.002447652611873206
278,0.0,0.0024449877750610852
279,1.0,0.001901361065401851
280,2.0,0.0013577343557424197
281,3.0,8.141076460829881E-4
282,4.0,2.7048093642375405E-4
283,5.0,2.7314577323567745E-4
284,6.0,8.16772482895109E-4
285,7.0,0.001360399192554343
