event count, max, time spent
233,999886, 27138
234,999886, 27253
235,999886, 27364
236,999886, 27473
237,999886, 27581
238,999886, 27690
239,999886, 27798
240,999886, 27909
241,999886, 28018
242,999886, 28125
243,999886, 28234
244,999886, 28342
245,999886, 28452
246,999886, 28559
247,999886, 28666
248,999886, 28775
249,999886, 28883
250,999886, 28991
251,999886, 29102
252,999886, 29209
253,999886, 29317
254,999886, 29425
255,999886, 29532
256,999886, 29640
257,999886, 29747
258,999886, 29854
259,999886, 29960
260,999886, 30069
261,999886, 30176
262,999886, 30285
263,999886, 30388
264,999886, 30500
265,999886, 30608
266,999886, 30725
267,999886, 30830
268,999886, 30938
269,999886, 31060
270,999886, 31173
271,999886, 31281
272,999886, 31386
273,999886, 31490
274,999886, 31594
275,999886, 31700
276,999886, 31807
277,999886, 31916
278,999886, 32024
279,999886, 32131
280,999886, 32241
281,999886, 32349
282,999886, 32454
283,999886, 32562
284,999886, 32669
285,999886, 32777
286,999886, 32885
287,999886, 32993
288,999886, 33094
289,999886, 33203
290,999886, 33313
291,999886, 33414
292,999886, 33517
293,999886, 33624
294,999886, 33733
295,999886, 33844
296,999886, 33953
297,999886, 34060
298,999886, 34169
299,999886, 34279
300,999886, 34385
301,999886, 34494
302,999886, 34600
303,999886, 34706
304,999886, 34812
305,999886, 34921
306,999886, 35029
307,999886, 35138
308,999886, 35246
309,999886, 35354
310,999886, 35462
311,999886, 35567
312,999886, 35677
313,999886, 35783
314,999886, 35893
315,999886, 36000
316,999886, 36110
317,999886, 36219
318,999886, 36327
319,999886, 36436
320,999886, 36542
321,999886, 36651
322,999886, 36757
323,999886, 36868
324,999886, 36978
325,999886, 37088
326,999886, 37197
327,999886, 37305
328,999886, 37412
329,999886, 37521
330,999886, 37629
331,999886, 37738
332,999886, 37845
333,999886, 37951
334,999886, 38062
335,999886, 38173
336,999886, 38280
337,999886, 38390
338,999886, 38498
339,999886, 38606
340,999886, 38714
341,999886, 38822
342,999886, 38931
343,999886, 39039
344,999886, 39146
345,999886, 39255
346,999886, 39361
347,999886, 39470
348,999886, 39578
349,999886, 39687
350,999886, 39794
351,999886, 39901
352,999886, 40011
353,999886, 40117
354,999886, 40224
355,999886, 40331
356,999886, 40441
357,999886, 40549
358,999886, 40656
359,999886, 40765
360,999886, 40872
361,999886, 40981
362,999886, 41090
363,999886, 41199
364,999886, 41306
365,999886, 41414
366,999886, 41525
367,999886, 41633
368,999886, 41741
369,999886, 41848
370,999886, 41956
371,999886, 42066
372,999886, 42173
373,999886, 42282
374,999886, 42390
375,999886, 42500
376,999886, 42607
377,999886, 42713
378,999886, 42821
379,999886, 42929
380,999886, 43036
381,999886, 43145
382,999886, 43254
383,999886, 43362
384,999886, 43469
385,999886, 43578
386,999886, 43686
387,999886, 43792
388,999886, 43903
389,999886, 44013
390,999886, 44120
391,999886, 44228
392,999886, 44337
393,999886, 44445
394,999886, 44553
395,999886, 44662
396,999886, 44768
397,999886, 44875
398,999886, 44984
399,999886, 45093
400,999886, 45203
401,999886, 45311
402,999886, 45418
403,999886, 45527
404,999886, 45634
405,999886, 45742
406,999886, 45850
407,999886, 45959
408,999886, 46070
409,999886, 46176
410,999886, 46282
411,999886, 46390
412,999886, 46499
413,999886, 46606
414,999917, 46715
415,999917, 46823
416,999917, 46931
417,999917, 47039
418,999917, 47147
419,999917, 47255
420,999917, 47363
421,999917, 47471
422,999917, 47578
423,999917, 47687
424,999917, 47798
425,999917, 47906
426,999917, 48012
427,999917, 48122
428,999917, 48230
429,999917, 48338
430,999917, 48443
431,999917, 48551
432,999917, 48659
433,999917, 48767
434,999917, 48874
435,999917, 48984
436,999917, 49093
437,999917, 49199
438,999917, 49310
439,999917, 49417
440,999917, 49527
441,999968, 49633
442,999968, 49742
443,999968, 49851
444,999968, 49960
445,999968, 50064
446,999968, 50172
447,999968, 50281
448,999968, 50388
449,999968, 50496
450,999968, 50605
451,999968, 50712
452,999968, 50822
453,999968, 50928
454,999968, 51041
455,999968, 51147
456,999968, 51256
457,999968, 51363
458,999968, 51470
459,999968, 51579
460,999968, 51682
461,999968, 51789
462,999968, 51900
463,999968, 52010
464,999968, 52118
465,999968, 52228
466,999968, 52335
467,999968, 52442
468,999968, 52553
469,999968, 52659
470,999968, 52769
471,999968, 52878
472,999968, 52985
473,999968, 53092
474,999968, 53200
475,999968, 53309
476,999968, 53415
477,999968, 53523
478,999968, 53632
479,999968, 53741
480,999968, 53849
481,999968, 53957
482,999968, 54070
483,999968, 54177
484,999968, 54286
485,999968, 54392
486,999968, 54499
487,999968, 54608
488,999968, 54718
489,999968, 54827
490,999968, 54934
491,999968, 55043
492,999968, 55150
493,999968, 55259
494,999968, 55368
495,999968, 55476
496,999968, 55584
497,999968, 55692
498,999968, 55801
499,999968, 55909
500,999968, 56016
501,999968, 56124
502,999968, 56232
503,999968, 56338
504,999968, 56447
505,999968, 56554
506,999968, 56664
507,999968, 56771
508,999968, 56881
509,999968, 56990
510,999968, 57097
511,999968, 57204
512,999968, 57312
513,999968, 57421
514,999968, 57529
515,999968, 57640
516,999968, 57748
517,999968, 57856
518,999968, 57963
519,999968, 58072
520,999968, 58181
521,999968, 58289
522,999968, 58397
523,999968, 58507
524,999968, 58615
525,999968, 58719
526,999968, 58845
527,999968, 58952
528,999968, 59059
529,999968, 59169
530,999968, 59275
531,999968, 59383
532,999968, 59493
533,999968, 59600
534,999968, 59709
535,999968, 59816
536,999968, 59922
537,999968, 60035
538,999968, 60143
539,999968, 60250
540,999968, 60359
541,999968, 60468
542,999968, 60574
543,999968, 60684
544,999968, 60793
545,999968, 60901
546,999968, 61010
547,999968, 61117
548,999968, 61230
549,999968, 61337
550,999968, 61446
551,999968, 61554
552,999968, 61662
553,999968, 61768
554,999968, 61876
555,999968, 61984
556,999968, 62093
557,999968, 62202
558,999968, 62308
559,999968, 62414
560,999968, 62523
561,999968, 62630
562,999968, 62740
563,999968, 62846
564,999968, 62955
565,999968, 63062
566,999968, 63172
567,999968, 63278
568,999968, 63389
569,999968, 63497
570,999968, 63604
571,999968, 63711
572,999968, 63819
573,999968, 63927
574,999968, 64036
575,999968, 64142
576,999968, 64252
577,999968, 64360
578,999968, 64467
579,999968, 64575
580,999968, 64684
