Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 174, maxHumidity : 998672, timeSpent : 236
     [java] Event: count : 173, maxHumidity : 998672, timeSpent : 236
     [java] Event: count : 172, maxHumidity : 998672, timeSpent : 237
     [java] Event: count : 171, maxHumidity : 998672, timeSpent : 237
     [java] Event: count : 170, maxHumidity : 998672, timeSpent : 237
     [java] Event: count : 169, maxHumidity : 998672, timeSpent : 237
     [java] Event: count : 168, maxHumidity : 998672, timeSpent : 237
     [java] Event: count : 166, maxHumidity : 998672, timeSpent : 237
     [java] Event: count : 167, maxHumidity : 998672, timeSpent : 237
     [java] Event: count : 165, maxHumidity : 998672, timeSpent : 238
     [java] Event: count : 161, maxHumidity : 998672, timeSpent : 238
     [java] Event: count : 163, maxHumidity : 998672, timeSpent : 238
     [java] Event: count : 162, maxHumidity : 998672, timeSpent : 238
     [java] Event: count : 160, maxHumidity : 992085, timeSpent : 238
     [java] Event: count : 159, maxHumidity : 992085, timeSpent : 239
     [java] Event: count : 158, maxHumidity : 992085, timeSpent : 239
     [java] Event: count : 157, maxHumidity : 992085, timeSpent : 239
     [java] Event: count : 156, maxHumidity : 992085, timeSpent : 239
     [java] Event: count : 155, maxHumidity : 992085, timeSpent : 239
     [java] Event: count : 154, maxHumidity : 992085, timeSpent : 240
     [java] Event: count : 153, maxHumidity : 992085, timeSpent : 240
     [java] Event: count : 152, maxHumidity : 992085, timeSpent : 240
     [java] Event: count : 151, maxHumidity : 992085, timeSpent : 240
     [java] Event: count : 150, maxHumidity : 992085, timeSpent : 240
     [java] Event: count : 149, maxHumidity : 992085, timeSpent : 240
     [java] Event: count : 148, maxHumidity : 992085, timeSpent : 240
     [java] Event: count : 384, maxHumidity : 999782, timeSpent : 241
     [java] Event: count : 146, maxHumidity : 992085, timeSpent : 241
     [java] Event: count : 145, maxHumidity : 992085, timeSpent : 241
     [java] Event: count : 143, maxHumidity : 992085, timeSpent : 241
     [java] Event: count : 142, maxHumidity : 992085, timeSpent : 241
     [java] Event: count : 141, maxHumidity : 992085, timeSpent : 241
     [java] Event: count : 140, maxHumidity : 992085, timeSpent : 241
     [java] Event: count : 139, maxHumidity : 992085, timeSpent : 242
     [java] Event: count : 138, maxHumidity : 992085, timeSpent : 242
     [java] Event: count : 137, maxHumidity : 992085, timeSpent : 242
     [java] Event: count : 136, maxHumidity : 992085, timeSpent : 242
     [java] Event: count : 135, maxHumidity : 992085, timeSpent : 243
     [java] Event: count : 134, maxHumidity : 992085, timeSpent : 243
     [java] Event: count : 133, maxHumidity : 992085, timeSpent : 243
     [java] Event: count : 132, maxHumidity : 992085, timeSpent : 243
     [java] Event: count : 131, maxHumidity : 992085, timeSpent : 243
     [java] Event: count : 130, maxHumidity : 992085, timeSpent : 244
     [java] Event: count : 129, maxHumidity : 992085, timeSpent : 244
     [java] Event: count : 128, maxHumidity : 992085, timeSpent : 244
     [java] Event: count : 127, maxHumidity : 992085, timeSpent : 249
     [java] Event: count : 126, maxHumidity : 992085, timeSpent : 249
     [java] Event: count : 125, maxHumidity : 992085, timeSpent : 249
     [java] Event: count : 124, maxHumidity : 992085, timeSpent : 249
     [java] Event: count : 123, maxHumidity : 992085, timeSpent : 249
     [java] Event: count : 122, maxHumidity : 992085, timeSpent : 250
     [java] Event: count : 121, maxHumidity : 992085, timeSpent : 250
     [java] Event: count : 120, maxHumidity : 992085, timeSpent : 250
     [java] Event: count : 119, maxHumidity : 992085, timeSpent : 250
     [java] Event: count : 118, maxHumidity : 992085, timeSpent : 251
     [java] Event: count : 401, maxHumidity : 999782, timeSpent : 251
     [java] Event: count : 117, maxHumidity : 992085, timeSpent : 251
     [java] Event: count : 402, maxHumidity : 999782, timeSpent : 252
     [java] Event: count : 116, maxHumidity : 992085, timeSpent : 252
     [java] Event: count : 115, maxHumidity : 992085, timeSpent : 252
     [java] Event: count : 114, maxHumidity : 992085, timeSpent : 252
     [java] Event: count : 113, maxHumidity : 992085, timeSpent : 253
     [java] Event: count : 112, maxHumidity : 992085, timeSpent : 253
     [java] Event: count : 111, maxHumidity : 992085, timeSpent : 253
     [java] Event: count : 110, maxHumidity : 992085, timeSpent : 254
     [java] Event: count : 109, maxHumidity : 992085, timeSpent : 254
     [java] Event: count : 108, maxHumidity : 992085, timeSpent : 255
     [java] Event: count : 107, maxHumidity : 992085, timeSpent : 255
     [java] Event: count : 106, maxHumidity : 992085, timeSpent : 255
     [java] Event: count : 105, maxHumidity : 992085, timeSpent : 255
     [java] Event: count : 104, maxHumidity : 992085, timeSpent : 256
     [java] Event: count : 103, maxHumidity : 992085, timeSpent : 257
     [java] Event: count : 102, maxHumidity : 992085, timeSpent : 260
     [java] Event: count : 101, maxHumidity : 992085, timeSpent : 260
     [java] Event: count : 100, maxHumidity : 992085, timeSpent : 261
     [java] Event: count : 99, maxHumidity : 992085, timeSpent : 263
     [java] Event: count : 98, maxHumidity : 992085, timeSpent : 263
     [java] Event: count : 97, maxHumidity : 992085, timeSpent : 263
     [java] Event: count : 96, maxHumidity : 992085, timeSpent : 264
     [java] Event: count : 95, maxHumidity : 992085, timeSpent : 264
     [java] Event: count : 94, maxHumidity : 992085, timeSpent : 264
     [java] Event: count : 93, maxHumidity : 992085, timeSpent : 265
     [java] Event: count : 92, maxHumidity : 992085, timeSpent : 265
     [java] Event: count : 88, maxHumidity : 992085, timeSpent : 265
     [java] Event: count : 91, maxHumidity : 992085, timeSpent : 266
     [java] Event: count : 416, maxHumidity : 999782, timeSpent : 266
     [java] Event: count : 418, maxHumidity : 999782, timeSpent : 266
     [java] Event: count : 90, maxHumidity : 992085, timeSpent : 267
     [java] Event: count : 89, maxHumidity : 992085, timeSpent : 267
     [java] Event: count : 87, maxHumidity : 992085, timeSpent : 270
     [java] Event: count : 86, maxHumidity : 992085, timeSpent : 270
     [java] Event: count : 85, maxHumidity : 992085, timeSpent : 270
     [java] Event: count : 84, maxHumidity : 992085, timeSpent : 270
     [java] Event: count : 83, maxHumidity : 988570, timeSpent : 271
     [java] Event: count : 82, maxHumidity : 988570, timeSpent : 271
     [java] Event: count : 81, maxHumidity : 988570, timeSpent : 271
     [java] Event: count : 80, maxHumidity : 988570, timeSpent : 271
     [java] Event: count : 79, maxHumidity : 988570, timeSpent : 272
     [java] Event: count : 78, maxHumidity : 988570, timeSpent : 272
     [java] Event: count : 77, maxHumidity : 988570, timeSpent : 272
     [java] Event: count : 76, maxHumidity : 988570, timeSpent : 272
     [java] Event: count : 75, maxHumidity : 988570, timeSpent : 272
     [java] Event: count : 74, maxHumidity : 988570, timeSpent : 273
     [java] Event: count : 73, maxHumidity : 988570, timeSpent : 273
     [java] Event: count : 72, maxHumidity : 988570, timeSpent : 273
     [java] Event: count : 71, maxHumidity : 988570, timeSpent : 273
     [java] Event: count : 70, maxHumidity : 988570, timeSpent : 273
