events count, max value, timeSpent
351,999782.0,291
352,999782.0,291
353,999782.0,291
354,999782.0,291
355,999782.0,291
356,999706.0,291
357,999706.0,292
358,999706.0,292
359,999706.0,292
360,999706.0,292
361,999706.0,292
362,999706.0,292
363,999706.0,292
364,999706.0,292
365,999706.0,292
366,999706.0,292
367,999706.0,293
368,999706.0,293
369,999706.0,293
370,999706.0,293
371,999706.0,293
372,999706.0,293
373,999706.0,293
374,999706.0,293
375,999706.0,293
376,999706.0,294
377,999706.0,294
378,999706.0,294
379,999706.0,294
380,999706.0,294
381,999706.0,294
382,999706.0,294
383,999706.0,294
384,999706.0,294
385,999706.0,295
386,999706.0,295
387,999706.0,295
388,999706.0,295
389,999706.0,295
390,999706.0,295
391,998672.0,295
392,998672.0,296
393,998672.0,296
394,998672.0,296
395,998672.0,296
396,998672.0,296
397,998672.0,296
398,998672.0,296
399,998672.0,297
400,998672.0,297
401,998672.0,297
402,998672.0,297
403,998672.0,297
404,998672.0,297
405,998672.0,297
406,998672.0,298
407,998672.0,298
408,998672.0,298
409,998672.0,298
410,998672.0,298
411,998672.0,298
412,998672.0,298
413,998672.0,298
414,998672.0,298
415,998672.0,299
416,998672.0,299
417,998672.0,299
418,998672.0,299
419,998672.0,299
420,998672.0,299
421,998672.0,299
422,998672.0,299
423,998672.0,299
424,998672.0,300
425,998672.0,300
426,998672.0,300
427,998672.0,300
428,998672.0,300
429,998672.0,300
430,998672.0,301
431,998672.0,301
432,998672.0,301
433,998672.0,301
434,998672.0,301
435,998672.0,301
436,999782.0,315
437,999782.0,426
438,999782.0,538
439,999782.0,648
440,999782.0,758
441,999782.0,870
442,999782.0,982
443,999782.0,1096
444,999782.0,1214
445,999782.0,1329
446,999782.0,1437
447,999782.0,1546
448,999782.0,1654
449,999782.0,1763
450,999782.0,1874
451,999782.0,1986
452,999782.0,2096
453,999782.0,2206
454,999782.0,2318
455,999782.0,2429
456,999782.0,2541
457,999782.0,2651
458,999782.0,2760
459,999782.0,2870
460,999782.0,2981
461,999782.0,3093
462,999782.0,3203
463,999782.0,3313
464,999782.0,3425
465,999782.0,3536
466,999782.0,3654
467,999782.0,3774
468,999782.0,3895
469,999782.0,4005
470,999782.0,4114
471,999782.0,4224
472,999782.0,4336
473,999782.0,4447
474,999782.0,4561
475,999782.0,4678
476,999782.0,4790
477,999782.0,4904
478,999782.0,5017
479,999782.0,5129
480,999782.0,5242
481,999782.0,5356
482,999782.0,5467
483,999782.0,5576
484,999782.0,5684
485,999782.0,5794
486,999782.0,5903
487,999782.0,6012
488,999782.0,6121
489,999782.0,6231
490,999782.0,6340
491,999782.0,6449
492,999782.0,6559
493,999782.0,6669
494,999782.0,6780
495,999782.0,6891
496,999782.0,7001
497,999782.0,7111
498,999782.0,7222
499,999782.0,7332
500,999782.0,7446
501,999782.0,7558
502,999782.0,7671
503,999782.0,7783
504,999782.0,7898
505,999782.0,8009
506,999782.0,8122
507,999782.0,8232
508,999782.0,8343
509,999782.0,8452
510,999782.0,8560
511,999782.0,8670
512,999782.0,8784
513,999782.0,8894
514,999782.0,9005
515,999782.0,9115
516,999782.0,9224
517,999782.0,9332
518,999782.0,9440
519,999782.0,9548
520,999782.0,9657
521,999782.0,9768
522,999782.0,9876
523,999782.0,9985
524,999782.0,10093
525,999782.0,10201
526,999782.0,10309
527,999782.0,10417
528,999782.0,10525
529,999782.0,10633
530,999782.0,10741
531,999782.0,10851
532,999782.0,10959
533,999782.0,11067
534,999782.0,11175
535,999782.0,11283
536,999782.0,11391
537,999782.0,11499
538,999782.0,11607
539,999782.0,11715
540,999782.0,11823
541,999782.0,11931
542,999782.0,12039
543,999782.0,12147
544,999782.0,12255
545,999782.0,12363
546,999782.0,12471
547,999782.0,12580
548,999782.0,12688
549,999782.0,12796
550,999782.0,12904
551,999782.0,13012
552,999782.0,13119
553,999782.0,13227
554,999782.0,13335
555,999782.0,13443
556,999782.0,13551
557,999782.0,13659
558,999782.0,13767
559,999782.0,13875
560,999782.0,13982
561,999782.0,14090
562,999782.0,14198
563,999782.0,14308
564,999782.0,14418
565,999782.0,14528
566,999782.0,14638
567,999782.0,14747
568,999782.0,14856
569,999782.0,14965
570,999782.0,15078
571,999782.0,15186
572,999782.0,15294
573,999782.0,15404
574,999782.0,15514
575,999782.0,15625
576,999782.0,15736
577,999782.0,15846
578,999782.0,15957
579,999782.0,16068
580,999782.0,16179
581,999782.0,16286
582,999782.0,16395
583,999782.0,16506
584,999782.0,16616
585,999782.0,16728
586,999782.0,16838
587,999782.0,16947
588,999782.0,17059
589,999782.0,17170
590,999782.0,17278
591,999782.0,17386
592,999782.0,17496
593,999782.0,17607
594,999782.0,17716
595,999782.0,17826
596,999782.0,17936
597,999782.0,18044
598,999782.0,18154
599,999782.0,18265
600,999782.0,18376
601,999782.0,18487
602,999782.0,18599
603,999782.0,18708
604,999782.0,18819
605,999782.0,18931
606,999782.0,19042
607,999782.0,19153
608,999782.0,19263
609,999782.0,19371
610,999782.0,19480
611,999782.0,19588
612,999782.0,19697
613,999782.0,19806
614,999782.0,19915
615,999782.0,20027
616,999782.0,20140
617,999782.0,20257
618,999782.0,20373
619,999782.0,20487
620,999782.0,20598
621,999782.0,20709
622,999782.0,20819
623,999782.0,20930
624,999782.0,21040
625,999782.0,21151
626,999782.0,21260
627,999782.0,21368
628,999782.0,21479
629,999782.0,21591
630,999782.0,21702
631,999782.0,21813
632,999782.0,21929
633,999782.0,22043
634,999782.0,22157
635,999782.0,22273
636,999782.0,22383
637,999782.0,22495
638,999782.0,22612
639,999782.0,22729
640,999782.0,22845
641,999782.0,22957
642,999782.0,23068
643,999782.0,23176
644,999782.0,23283
645,999782.0,23394
646,999782.0,23503
647,999782.0,23617
648,999782.0,23726
649,999782.0,23837
650,999782.0,23948
651,999782.0,24059
652,999782.0,24174
653,999782.0,24292
654,999782.0,24403
655,999782.0,24515
656,999782.0,24626
657,999782.0,24735
658,999782.0,24845
659,999782.0,24960
660,999782.0,25071
661,999782.0,25185
662,999782.0,25294
663,999782.0,25402
664,999782.0,25512
665,999782.0,25627
666,999782.0,25745
