events count, average value
206,5555.817204301075
207,5543.810810810811
208,5453.4484126984125
209,5439.665338645418
210,5457.364
211,5442.634538152611
212,5429.084677419355
213,5420.194331983806
214,5410.1463414634145
215,5430.787755102041
216,5415.872950819672
217,5428.3621399176955
218,5422.140495867769
219,5455.045833333334
220,5455.041841004184
221,5458.941860465116
222,5467.915966386555
223,5472.261603375528
224,5474.821276595745
225,5484.682203389831
226,5451.248927038627
227,5461.153846153846
228,5445.469565217391
229,5443.961206896552
230,5438.679653679654
231,5431.379912663755
232,5413.631578947368
233,5393.629955947136
234,5416.004424778761
235,5413.551111111111
236,5404.441964285715
237,5424.959641255606
238,5448.891891891892
239,5443.37556561086
240,5466.181818181818
241,5472.429223744292
242,5470.738532110092
243,5487.3963133640555
244,5487.268518518518
245,5469.827906976744
246,5480.523364485981
247,5477.814285714286
248,5468.567307692308
249,5467.40487804878
250,5477.186274509804
251,5496.717557251908
252,5478.310344827586
253,5500.19801980198
254,5427.035971223022
255,5416.606498194946
256,5401.628975265017
257,5427.166666666667
258,5440.141818181818
259,5452.521897810219
260,5441.102564102564
261,5446.051470588235
262,5432.896678966789
263,5445.877777777778
264,5464.802973977695
265,5464.548507462687
266,5484.063670411985
267,5490.721804511279
268,5477.792452830188
269,5475.882575757576
270,5495.513307984791
271,5471.369230769231
272,5474.915057915058
273,5439.996815286624
274,5450.961089494163
275,5443.01953125
276,5440.348547717842
277,5445.870588235294
278,5433.612698412699
279,5466.791338582677
280,5450.478260869565
281,5421.744479495268
282,5424.794303797468
283,5435.14696485623
284,5445.740384615385
285,5447.861736334406
286,5443.287096774194
287,5456.844660194175
288,5452.665584415585
289,5442.599348534202
290,5450.3725490196075
291,5443.485245901639
292,5438.4276315789475
293,5432.366336633663
294,5420.516556291391
295,5418.627906976744
296,5404.456666666667
297,5407.384615384615
298,5410.708053691275
299,5407.851851851852
300,5425.2871621621625
301,5417.0542372881355
302,5430.380952380952
303,5420.720136518771
304,5405.575342465753
305,5421.687285223367
306,5411.472413793103
307,5424.245674740484
308,5438.170138888889
309,5425.91637630662
310,5413.919580419581
311,5409.364912280702
312,5404.704225352113
313,5418.741134751773
314,5416.0391459074735
315,5427.935714285714
316,5435.333333333333
317,5462.27002967359
318,5470.943452380952
319,5460.284023668639
320,5475.466275659824
321,5466.323529411765
322,5496.476744186047
323,5496.387283236994
324,5497.097982708934
325,5484.347701149425
326,5490.584527220631
327,5480.147727272727
328,5479.14164305949
329,5486.946327683616
330,5450.113496932516
331,5489.88202247191
332,5463.16713091922
333,5460.452777777778
334,5454.900277008311
335,5453.129834254144
336,5469.463126843658
337,5463.175392670157
338,5465.014925373134
339,5468.706586826347
340,5474.418181818181
341,5460.621621621622
342,5448.810240963855
343,5448.83081570997
344,5445.203030303031
345,5454.656534954407
346,5445.237804878048
347,5441.730886850153
348,5443.8953846153845
349,5446.447530864198
350,5443.247678018576
351,5437.282608695652
352,5427.264797507788
353,5420.56875
354,5408.8746081504705
355,5419.009433962264
356,5479.555555555556
357,5422.972636815921
358,5425.57855361596
359,5435.245
360,5431.122807017544
361,5430.520100502513
362,5436.1259445843825
363,5441.373737373738
364,5434.407594936709
365,5439.758883248731
366,5451.391857506362
367,5454.9795918367345
368,5461.23273657289
369,5455.033333333334
370,5467.848329048843
371,5473.355670103093
372,5485.062015503876
373,5475.759067357513
374,5470.5234375
375,5460.070496083551
376,5459.154855643044
377,5449.265789473684
378,5461.7335092348285
379,5456.460317460317
380,5462.809018567639
381,5466.345744680851
382,5475.757333333333
383,5488.243315508022
384,5484.501340482574
385,5481.459677419355
386,5469.571428571428
387,5461.048648648649
388,5451.10027100271
389,5455.046321525885
390,5442.032608695652
391,5450.472677595629
392,5440.621917808219
393,5436.167582417583
394,5439.597796143251
395,5472.849162011174
396,5484.644257703081
397,5482.9323943661975
398,5492.045584045584
399,5495.477142857143
400,5498.347826086957
401,5497.443148688047
402,5484.631578947368
403,5410.575682382134
404,5398.891625615764
405,5403.367901234568
406,5410.178217821782
407,5387.525798525799
408,5384.198529411765
409,5392.511002444988
410,5396.80243902439
411,5402.688564476885
