events count, average value
396,5476.081339712919
397,5474.290865384615
398,5448.080291970803
399,5452.539024390244
400,5454.740831295843
401,5457.838235294118
402,5451.857493857494
403,5446.504926108374
404,5438.538271604938
405,5433.772277227723
406,5440.950372208436
407,5431.721393034826
408,5427.97506234414
409,5422.91
410,5431.706766917293
411,5427.672588832487
412,5431.645728643216
413,5430.2947103274555
414,5414.948051948052
415,5421.763020833333
416,5414.23498694517
417,5413.264397905759
418,5411.734908136483
419,5418.679372197309
420,5422.186842105263
421,5411.453825857519
422,5399.357142857143
423,5402.419098143236
424,5392.220744680851
425,5395.821333333333
426,5427.462365591397
427,5393.18956043956
428,5399.363636363636
429,5401.524861878453
430,5405.402777777777
431,5424.896629213483
432,5436.153153153153
433,5407.2774049217005
434,5445.322799097065
435,5451.757918552036
436,5447.353741496599
437,5448.05
438,5452.291571753986
439,5462.974885844749
440,5465.619266055046
441,5462.680459770115
442,5464.831797235023
443,5479.5641025641025
444,5477.932242990654
445,5479.765258215963
446,5483.9223529411765
447,5475.825471698113
448,5406.926339285715
449,5396.089086859688
450,5385.311111111111
451,5393.485587583148
452,5396.525386313466
453,5390.117256637168
454,5392.491189427313
455,5391.421978021978
456,5388.335526315789
457,5381.890590809628
458,5379.709606986899
459,5374.259259259259
460,5368.791304347826
461,5362.969631236442
462,5370.292207792208
463,5379.129589632829
464,5372.894396551724
465,5378.754838709678
466,5368.454935622318
467,5372.503211991435
468,5378.976495726496
469,5368.731343283582
470,5363.289361702127
471,5359.464968152866
472,5352.237288135593
473,5352.879492600423
474,5351.443037974684
475,5351.8421052631575
476,5355.85294117647
477,5353.9727463312365
478,5345.66388308977
479,5338.010416666667
480,5345.35550935551
481,5343.730125523012
482,5345.790456431535
483,5355.03933747412
484,5361.26652892562
485,5362.086597938144
486,5352.565843621399
487,5361.318275154004
488,5362.026639344263
489,5353.556237218814
490,5359.434693877551
491,5366.995926680244
492,5360.424796747968
493,5364.746450304259
494,5358.475708502025
495,5349.983838383839
496,5340.302419354839
497,5333.917505030181
498,5327.3755020080325
499,5323.400801603207
500,5323.006
501,5316.057884231537
502,5306.262948207172
503,5304.954274353877
504,5299.0515873015875
505,5304.89900990099
506,5309.555335968379
507,5300.4516765286
508,5309.385826771653
509,5315.379174852652
510,5305.086274509804
511,5297.250489236791
512,5287.82421875
513,5279.111111111111
514,5286.175097276265
515,5280.904854368932
516,5275.821705426357
517,5269.940038684719
518,5265.436293436293
519,5268.554913294798
520,5274.959615384615
521,5266.078694817658
522,5273.766283524904
523,5278.799235181645
524,5287.019083969466
525,5280.333333333333
526,5286.406844106464
527,5277.377609108159
528,5276.473484848485
529,5280.4669187145555
530,5272.820754716981
531,5281.338983050848
532,5278.471804511279
533,5278.56660412758
534,5280.48127340824
535,5281.558878504673
536,5272.5317164179105
537,5275.584729981378
538,5270.988847583643
539,5261.645640074212
540,5261.533333333334
541,5257.218114602588
542,5254.516605166052
543,5254.005524861878
544,5252.801470588235
545,5246.042201834863
546,5249.291208791209
547,5255.416819012797
548,5252.248175182482
549,5252.318761384335
550,5246.243636363636
551,5252.350272232305
552,5258.893115942029
553,5253.520795660036
554,5257.537906137184
555,5249.758558558558
556,5248.052064631957
557,5243.001798561151
558,5250.4874551971325
559,5242.050089445438
560,5245.678571428572
561,5245.078431372549
562,5238.758007117438
563,5239.303730017762
564,5246.989361702128
565,5250.9345132743365
566,5247.411660777385
567,5242.557319223986
568,5233.943661971831
569,5239.690685413006
570,5246.194736842105
571,5249.711033274956
572,5247.454545454545
573,5255.698080279232
574,5251.45818815331
575,5256.986086956522
576,5250.795138888889
577,5247.826689774697
578,5241.136678200692
579,5243.654576856649
580,5234.748275862069
581,5241.036144578313
582,5248.972508591065
583,5240.001715265867
584,5242.678082191781
585,5244.781196581196
586,5249.46928327645
587,5248.744463373084
588,5256.414965986394
589,5257.504244482173
590,5260.235593220339
591,5265.084602368866
592,5268.074324324324
593,5265.414839797639
594,5267.988215488215
595,5263.863865546218
596,5270.036912751678
597,5263.738693467337
598,5263.4046822742475
599,5263.061769616027
600,5255.221666666666
601,5251.860232945091
602,5253.086378737542
603,5260.082918739635
604,5259.298013245033
605,5265.140495867769
606,5261.806930693069
607,5266.380560131795
608,5265.652960526316
609,5260.850574712644
610,5267.045901639344
611,5260.337152209493
612,5259.269607843137
613,5256.626427406199
614,5259.0667752443
615,5252.265040650406
616,5245.7532467532465
617,5238.737439222042
618,5233.464401294498
619,5230.730210016155
620,5227.416129032258
621,5226.285024154589
622,5226.683279742765
623,5224.805778491172
624,5227.899038461538
625,5222.1248
626,5217.249201277955
627,5213.03668261563
628,5214.285031847134
629,5208.48012718601
630,5210.053968253968
631,5216.911251980982
632,5218.087025316456
633,5222.909952606635
634,5217.0347003154575
635,5215.573228346457
636,5207.7657232704405
637,5213.533751962324
638,5219.865203761756
639,5216.4303599374025
640,5223.740625
641,5223.617784711389
642,5220.785046728972
643,5214.940902021773
644,5220.163043478261
645,5224.262015503876
646,5224.083591331269
647,5221.806800618238
648,5225.674382716049
649,5229.557781201849
650,5227.126153846154
651,5232.450076804916
652,5227.8420245398775
653,5226.298621745788
654,5227.9556574923545
655,5229.01679389313
656,5223.782012195122
657,5225.245053272451
658,5218.896656534955
659,5225.047040971169
660,5225.931818181818
661,5223.419062027231
662,5222.287009063444
663,5220.211161387632
664,5216.471385542169
665,5220.604511278196
666,5214.088588588588
667,5218.890554722639
668,5223.87874251497
669,5219.605381165919
670,5213.367164179104
671,5211.913561847988
672,5205.169642857143
673,5210.772659732541
674,5211.486646884273
675,5214.718518518518
676,5211.014792899408
677,5208.391432791728
678,5203.128318584071
679,5206.630338733432
680,5200.422058823529
681,5203.289280469897
682,5201.772727272727
683,5202.715959004392
684,5196.75
685,5192.607299270073
686,5190.98833819242
687,5185.529839883552
688,5183.232558139535
689,5183.397677793904
690,5187.815942028986
691,5182.348769898697
692,5184.3959537572255
693,5189.12987012987
694,5194.814121037464
695,5197.831654676259
696,5195.183908045977
697,5201.018651362984
698,5195.047277936963
699,5191.786838340487
700,5189.596291012839
701,5190.381766381766
702,5187.022759601707
703,5193.978571428572
704,5181.215909090909
705,5181.391489361702
706,5183.70254957507
707,5178.944837340877
708,5172.329096045198
709,5170.517630465444
710,5175.96338028169
711,5170.8720112517585
712,5168.021067415731
713,5166.028050490883
714,5163.591036414566
715,5162.716083916084
716,5165.005586592179
717,5162.874476987447
718,5161.07660167131
719,5166.16133518776
720,5163.554166666667
721,5158.869625520111
722,5164.790858725762
723,5167.957123098202
724,5172.309392265193
725,5173.616551724138
726,5168.986225895317
727,5167.4057771664375
728,5165.899725274725
729,5166.14403292181
730,5166.941095890411
731,5171.331053351573
732,5170.438524590164
733,5168.394270122783
734,5165.226158038147
735,5169.755102040816
736,5163.578804347826
737,5163.981004070556
738,5168.084010840108
739,5161.9905277401895
740,5166.247297297297
741,5171.441295546559
742,5176.315363881402
743,5173.6298788694485
744,5178.958333333333
745,5172.272483221476
746,5170.269436997319
747,5169.5368139223565
748,5167.442513368984
749,5167.64085447263
750,5169.858666666667
751,5170.45672436751
752,5174.367021276596
753,5179.742363877822
754,5182.546419098143
755,5186.3364238410595
756,5188.0171957671955
757,5190.632760898283
758,5192.393139841689
759,5188.395256916996
760,5190.418421052632
761,5187.452036793692
762,5185.830708661418
763,5190.146788990825
764,5185.668848167539
765,5183.18954248366
766,5187.8851174934725
767,5187.48370273794
768,5181.549479166667
769,5186.339401820546
770,5189.085714285714
771,5186.121919584954
772,5191.014248704663
773,5185.87192755498
774,5181.753229974161
775,5185.998709677419
776,5184.512886597938
777,5178.988416988417
778,5172.962724935733
779,5175.594351732991
780,5174.260256410256
781,5178.111395646607
782,5182.089514066496
783,5183.305236270753
784,5187.0497448979595
785,5184.075159235669
786,5187.31679389313
787,5187.144853875477
788,5184.3451776649745
789,5181.619771863117
790,5182.684810126582
791,5184.379266750948
792,5186.487373737374
793,5185.0453972257255
794,5180.367758186398
795,5177.241509433962
796,5173.326633165829
797,5171.267252195734
798,5176.855889724311
799,5175.609511889862
800,5180.37875
801,5175.349563046192
802,5169.349127182045
803,5172.706102117061
804,5171.864427860696
805,5172.272049689441
806,5166.263027295286
807,5165.638166047088
808,5166.2982673267325
