Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: humidity : 89, avgHumidity : 5757.9775280898875, timeSpent : 90
     [java] Event: humidity : 84, avgHumidity : 5779.357142857143, timeSpent : 90
     [java] Event: humidity : 82, avgHumidity : 5805.780487804878, timeSpent : 90
     [java] Event: humidity : 81, avgHumidity : 5795.777777777777, timeSpent : 90
     [java] Event: humidity : 80, avgHumidity : 5858.15, timeSpent : 91
     [java] Event: humidity : 90, avgHumidity : 5739.922222222222, timeSpent : 95
     [java] Event: humidity : 91, avgHumidity : 5726.879120879121, timeSpent : 96
     [java] Event: humidity : 92, avgHumidity : 5773.065217391304, timeSpent : 98
     [java] Event: humidity : 93, avgHumidity : 5757.419354838709, timeSpent : 101
     [java] Event: humidity : 87, avgHumidity : 5776.080459770115, timeSpent : 102
     [java] Event: humidity : 95, avgHumidity : 5665.231578947369, timeSpent : 102
     [java] Event: humidity : 97, avgHumidity : 5708.927835051546, timeSpent : 102
     [java] Event: humidity : 96, avgHumidity : 5676.135416666667, timeSpent : 102
     [java] Event: humidity : 94, avgHumidity : 5716.68085106383, timeSpent : 102
     [java] Event: humidity : 99, avgHumidity : 5723.212121212121, timeSpent : 102
     [java] Event: humidity : 98, avgHumidity : 5690.234693877551, timeSpent : 103
     [java] Event: humidity : 101, avgHumidity : 5701.267326732674, timeSpent : 107
     [java] Event: humidity : 102, avgHumidity : 5727.568627450981, timeSpent : 108
     [java] Event: humidity : 103, avgHumidity : 5678.922330097087, timeSpent : 108
     [java] Event: humidity : 104, avgHumidity : 5718.961538461538, timeSpent : 108
     [java] Event: humidity : 108, avgHumidity : 5672.527777777777, timeSpent : 109
     [java] Event: humidity : 109, avgHumidity : 5661.0091743119265, timeSpent : 109
     [java] Event: humidity : 110, avgHumidity : 5650.718181818182, timeSpent : 109
     [java] Event: humidity : 107, avgHumidity : 5723.2336448598135, timeSpent : 111
     [java] Event: humidity : 106, avgHumidity : 5703.132075471698, timeSpent : 111
     [java] Event: humidity : 105, avgHumidity : 5743.171428571429, timeSpent : 113
     [java] Event: humidity : 132, avgHumidity : 5610.734848484848, timeSpent : 114
     [java] Event: humidity : 131, avgHumidity : 5646.366412213741, timeSpent : 114
     [java] Event: humidity : 130, avgHumidity : 5623.238461538462, timeSpent : 114
     [java] Event: humidity : 129, avgHumidity : 5641.007751937985, timeSpent : 114
     [java] Event: humidity : 128, avgHumidity : 5681.40625, timeSpent : 115
     [java] Event: humidity : 127, avgHumidity : 5691.03937007874, timeSpent : 115
     [java] Event: humidity : 126, avgHumidity : 5673.674603174603, timeSpent : 115
     [java] Event: humidity : 125, avgHumidity : 5697.888, timeSpent : 116
     [java] Event: humidity : 124, avgHumidity : 5726.6612903225805, timeSpent : 116
     [java] Event: humidity : 135, avgHumidity : 5584.222222222223, timeSpent : 116
     [java] Event: humidity : 123, avgHumidity : 5745.341463414634, timeSpent : 117
     [java] Event: humidity : 122, avgHumidity : 5736.1557377049185, timeSpent : 117
     [java] Event: humidity : 121, avgHumidity : 5744.00826446281, timeSpent : 117
     [java] Event: humidity : 120, avgHumidity : 5781.425, timeSpent : 117
     [java] Event: humidity : 119, avgHumidity : 5773.336134453782, timeSpent : 117
     [java] Event: humidity : 118, avgHumidity : 5749.864406779661, timeSpent : 117
     [java] Event: humidity : 100, avgHumidity : 5741.08, timeSpent : 117
     [java] Event: humidity : 116, avgHumidity : 5759.103448275862, timeSpent : 118
     [java] Event: humidity : 115, avgHumidity : 5725.095652173913, timeSpent : 118
