events count, average value,lower bound - 0.3, upper bound - 0.3, timeSpent
251,5358.41463415,3750.8902439,6965.93902439,167
252,5339.53469388,3737.67428571,6941.39510204,167
253,5330.58196721,3731.40737705,6929.75655738,167
254,5322.09053498,3725.46337449,6918.71769547,168
255,5343.52892562,3740.47024793,6946.58760331,168
256,5348.92946058,3744.25062241,6953.60829876,168
257,5349.79583333,3744.85708333,6954.73458333,171
258,5358.89121339,3751.22384937,6966.55857741,172
259,5261.83773585,3683.28641509,6840.3890566,172
260,5251.83458647,3676.28421053,6827.38496241,172
261,5264.76404494,3685.33483146,6844.19325843,173
262,5254.97014925,3678.47910448,6831.46119403,173
263,5372.08403361,3760.45882353,6983.7092437,175
264,5387.91983122,3771.54388186,7004.29578059,175
265,5402.00423729,3781.4029661,7022.60550847,177
266,5394.55744681,3776.19021277,7012.92468085,177
267,5399.47008547,3779.62905983,7019.31111111,177
268,5384.94420601,3769.46094421,7000.42746781,178
269,5276.22073579,3693.35451505,6859.08695652,180
270,5248.45954693,3673.92168285,6822.997411,181
271,5266.75167785,3686.7261745,6846.77718121,181
272,5282.53535354,3697.77474747,6867.2959596,181
273,5271.99662162,3690.39763514,6853.59560811,181
274,5265.26101695,3685.68271186,6844.83932203,181
275,5266.4829932,3686.53809524,6846.42789116,182
276,5270.86006826,3689.60204778,6852.11808874,182
277,5276.70205479,3693.69143836,6859.71267123,182
278,5266.33676976,3686.43573883,6846.23780069,182
279,5271.14827586,3689.8037931,6852.49275862,182
280,5257.99653979,3680.59757785,6835.39550173,183
281,5275.13541667,3692.59479167,6857.67604167,183
282,5291.61324042,3704.12926829,6879.09721254,183
283,5301.57342657,3711.1013986,6892.04545455,184
284,5304.79649123,3713.35754386,6896.2354386,188
285,5313.3415493,3719.33908451,6907.34401408,188
286,5322.01413428,3725.40989399,6918.61837456,189
287,5331.36524823,3731.95567376,6930.7748227,191
288,5319.21352313,3723.44946619,6914.97758007,193
289,5306.14285714,3714.3,6897.98571429,194
290,5290.0,3703.0,6877.0,196
291,5283.56115108,3698.49280576,6868.6294964,198
292,5301.28158845,3710.89711191,6891.66606498,198
293,5266.51367781,3686.55957447,6846.46778116,198
294,5288.86231884,3702.20362319,6875.52101449,198
295,5293.09090909,3705.16363636,6881.01818182,200
296,5282.11313869,3697.47919708,6866.74708029,204
297,5275.51282051,3692.85897436,6858.16666667,204
298,5279.67647059,3695.77352941,6863.57941176,204
299,5262.67527675,3683.87269373,6841.47785978,204
300,5271.8037037,3690.26259259,6853.34481481,205
301,5261.88104089,3683.31672862,6840.44535316,206
302,5155.40659341,3608.78461538,6702.02857143,206
303,5142.62258953,3599.83581267,6685.40936639,207
304,5155.1880109,3608.63160763,6701.74441417,207
305,5153.43646409,3607.40552486,6699.46740331,207
306,5144.3197832,3601.02384824,6687.61571816,207
307,5147.24376731,3603.07063712,6691.41689751,208
308,5148.20833333,3603.74583333,6692.67083333,208
309,5161.07799443,3612.7545961,6709.40139276,208
310,5151.82122905,3606.27486034,6697.36759777,209
311,5161.2745098,3612.89215686,6709.65686275,209
312,5148.84550562,3604.19185393,6693.4991573,209
313,5141.07887324,3598.75521127,6683.40253521,209
314,5131.31073446,3591.91751412,6670.7039548,209
315,5144.01133144,3600.80793201,6687.21473088,209
316,5132.26420455,3592.58494318,6671.94346591,209
317,5144.90883191,3601.43618234,6688.38148148,209
318,5136.03142857,3595.222,6676.84085714,209
319,5109.17989418,3576.42592593,6641.93386243,210
320,5104.98416887,3573.48891821,6636.47941953,210
321,5122.55587393,3585.78911175,6659.3226361,210
322,5134.92528736,3594.44770115,6675.40287356,210
323,5148.36599424,3603.85619597,6692.87579251,210
324,5159.48554913,3611.63988439,6707.33121387,211
325,5174.24927536,3621.97449275,6726.52405797,211
326,5164.98837209,3615.49186047,6714.48488372,211
327,5174.67638484,3622.27346939,6727.07930029,211
328,5163.75438596,3614.62807018,6712.88070175,211
329,5171.35483871,3619.9483871,6722.76129032,211
330,5180.45882353,3626.32117647,6734.59647059,211
331,5187.89970501,3631.52979351,6744.26961652,211
332,5182.8816568,3628.01715976,6737.74615385,211
333,5189.54599407,3632.68219585,6746.40979228,211
334,5198.33928571,3638.8375,6757.84107143,212
335,5212.22089552,3648.55462687,6775.88716418,212
336,5224.36826347,3657.05778443,6791.67874251,213
337,5233.54954955,3663.48468468,6803.61441441,213
338,5239.24096386,3667.4686747,6811.01325301,213
339,5251.3836858,3675.96858006,6826.79879154,213
340,5251.76363636,3676.23454545,6827.29272727,213
341,5268.39939024,3687.87957317,6848.91920732,213
342,5261.08256881,3682.75779817,6839.40733945,213
343,5270.26687117,3689.18680982,6851.34693252,213
344,5279.31384615,3695.51969231,6863.108,214
345,5281.1882716,3696.83179012,6865.54475309,214
346,5280.02786378,3696.01950464,6864.03622291,214
347,5279.17391304,3695.42173913,6862.92608696,214
348,5289.55140187,3702.68598131,6876.41682243,214
349,5292.146875,3704.5028125,6879.7909375,214
350,5282.92476489,3698.04733542,6867.80219436,215
351,5297.22641509,3708.05849057,6886.39433962,215
352,5283.60567823,3698.52397476,6868.6873817,216
353,5282.26582278,3697.58607595,6866.94556962,216
354,5270.23492063,3689.16444444,6851.30539683,216
355,5253.23961661,3677.26773163,6829.2115016,216
356,5260.36624204,3682.25636943,6838.47611465,216
357,5264.71794872,3685.3025641,6844.13333333,217
358,5253.1221865,3677.18553055,6829.05884244,217
359,5238.41290323,3666.88903226,6809.93677419,217
360,5246.80194805,3672.76136364,6820.84253247,218
361,5262.0228013,3683.41596091,6840.62964169,219
362,5270.03267974,3689.02287582,6851.04248366,219
363,5275.63278689,3692.94295082,6858.32262295,219
364,5269.10197368,3688.37138158,6849.83256579,219
365,5268.20462046,3687.74323432,6848.6660066,219
366,5284.13245033,3698.89271523,6869.37218543,220
367,5280.85714286,3696.6,6865.11428571,221
368,5266.92,3686.844,6846.996,221
369,5118.32581454,3582.82807018,6653.8235589,222
370,5115.73047859,3581.01133501,6650.44962217,222
371,5132.47969543,3592.7357868,6672.22360406,230
372,5126.9321608,3588.85251256,6665.01180905,230
373,5144.6212766,3601.23489362,6688.00765957,230
374,5137.90126582,3596.53088608,6679.27164557,231
375,5127.30050505,3589.11035354,6665.49065657,231
376,5126.51653944,3588.56157761,6664.47150127,231
377,5119.04336735,3583.33035714,6654.75637755,231
378,5123.8056266,3586.66393862,6660.94731458,231
379,5163.89352818,3614.72546973,6713.06158664,231
380,5122.17829457,3585.5248062,6658.83178295,231
381,5122.72307692,3585.90615385,6659.54,232
382,5116.66580977,3581.66606684,6651.6655527,232
383,5113.13989637,3579.19792746,6647.08186528,232
384,5126.00515464,3588.20360825,6663.80670103,232
385,5113.67012987,3579.56909091,6647.77116883,232
386,5121.02864583,3584.72005208,6657.33723958,233
387,5111.25587467,3577.87911227,6644.63263708,233
388,5119.63350785,3583.7434555,6655.52356021,233
389,5119.18372703,3583.42860892,6654.93884514,233
390,5114.18157895,3579.92710526,6648.43605263,233
391,5118.57029178,3582.99920424,6654.14137931,233
392,5118.94680851,3583.26276596,6654.63085106,234
393,5114.16533333,3579.91573333,6648.41493333,234
394,5115.54278075,3580.87994652,6650.20561497,234
395,5121.74262735,3585.21983914,6658.26541555,234
396,5127.64247312,3589.34973118,6665.93521505,234
397,5131.23989218,3591.86792453,6670.61185984,234
398,5144.47297297,3601.13108108,6687.81486486,234
399,5157.0951087,3609.96657609,6704.2236413,235
400,5152.05737705,3606.44016393,6697.67459016,235
401,5151.57260274,3606.10082192,6697.04438356,235
402,5185.76257545,3630.03380282,6741.49134809,235
403,5195.9516129,3637.16612903,6754.73709677,235
404,5196.92121212,3637.84484848,6755.99757576,235
405,5188.02024291,3631.61417004,6744.42631579,235
406,5189.00608519,3632.30425963,6745.70791075,235
407,5181.43699187,3627.00589431,6735.86808943,235
408,5189.92260692,3632.94582485,6746.899389,236
409,5181.89183673,3627.32428571,6736.45938776,236
410,5174.48670757,3622.1406953,6726.83271984,236
411,5169.46516393,3618.62561475,6720.30471311,236
412,5163.87474333,3614.71232033,6713.03716632,236
413,5173.77366255,3621.64156379,6725.90576132,236
414,5171.08041237,3619.75628866,6722.40453608,236
415,5173.1053719,3621.17376033,6725.03698347,236
416,5165.03726708,3615.52608696,6714.5484472,236
417,5160.25311203,3612.17717842,6708.32904564,237
418,5166.43659044,3616.50561331,6716.36756757,237
419,5167.58125,3617.306875,6717.855625,237
420,5170.69456067,3619.48619247,6721.90292887,237
421,5176.54297694,3623.58008386,6729.50587002,237
422,5168.19327731,3617.73529412,6718.6512605,237
423,5163.57052632,3614.49936842,6712.64168421,237
424,5204.1208577,3642.88460039,6765.35711501,237
425,5197.88349515,3638.5184466,6757.24854369,238
426,5202.25775194,3641.58042636,6762.93507752,238
427,5201.36293436,3640.95405405,6761.77181467,238
428,5203.56538462,3642.49576923,6764.635,238
429,5201.78119002,3641.24683301,6762.31554702,238
430,5209.96551724,3646.97586207,6772.95517241,239
431,5209.9082218,3646.93575526,6772.88068834,239
432,5220.45714286,3654.32,6786.59428571,239
433,5164.86075949,3615.40253165,6714.31898734,239
434,5218.15939279,3652.71157495,6783.60721063,239
435,5159.69556025,3611.78689218,6707.60422833,239
436,5154.71610169,3608.30127119,6701.1309322,240
437,5215.30871212,3650.71609848,6779.90132576,240
438,5206.54716981,3644.58301887,6768.51132075,240
439,5191.26503759,3633.88552632,6748.64454887,240
440,5149.77070064,3604.83949045,6694.70191083,240
441,5153.38592751,3607.37014925,6699.40170576,241
442,5147.72649573,3603.40854701,6692.04444444,241
443,5153.62955032,3607.54068522,6699.71841542,241
444,5155.16523605,3608.61566524,6701.71480687,241
445,5154.51827957,3608.1627957,6700.87376344,241
446,5149.5625,3604.69375,6694.43125,242
447,5158.89416847,3611.22591793,6706.56241901,242
448,5164.56060606,3615.19242424,6713.92878788,242
449,5162.81778742,3613.97245119,6711.66312364,242
450,5157.15217391,3610.00652174,6704.29782609,242
451,5158.98039216,3611.28627451,6706.6745098,243
452,5170.0,3619.0,6721.0,243
453,5162.33479212,3613.63435449,6711.03522976,243
454,5192.35424354,3634.64797048,6750.06051661,243
455,5172.72149123,3620.90504386,6724.5379386,243
456,5185.17765568,3629.62435897,6740.73095238,243
457,5175.56923077,3622.89846154,6728.24,243
458,5166.62334802,3616.63634361,6716.61035242,244
459,5162.26269316,3613.58388521,6710.9415011,244
460,5166.6460177,3616.65221239,6716.63982301,244
461,5162.54444444,3613.78111111,6711.30777778,246
462,5165.87361419,3616.11152993,6715.63569845,247
463,5151.87305122,3606.31113586,6697.43496659,247
464,5154.76957494,3608.33870246,6701.20044743,247
465,5162.62053571,3613.834375,6711.40669643,247
466,5162.16591928,3613.5161435,6710.81569507,247
467,5158.78202247,3611.14741573,6706.41662921,247
468,5159.70720721,3611.79504505,6707.61936937,248
469,5154.46275395,3608.12392777,6700.80158014,248
470,5147.0520362,3602.93642534,6691.16764706,248
471,5149.430839,3604.6015873,6694.2600907,248
472,5139.59318182,3597.71522727,6681.47113636,248
473,5134.77676538,3594.34373576,6675.20979499,248
474,5133.16438356,3593.21506849,6673.11369863,248
475,5122.09382151,3585.46567506,6658.72196796,248
476,5129.96330275,3590.97431193,6668.95229358,249
477,5130.51264368,3591.35885057,6669.66643678,249
478,5133.21198157,3593.2483871,6673.17557604,249
479,5144.88683603,3601.42078522,6688.35288684,249
480,5143.14351852,3600.20046296,6686.08657407,249
481,5134.32714617,3594.02900232,6674.62529002,249
482,5138.03953488,3596.62767442,6679.45139535,249
483,5131.07459207,3591.75221445,6670.3969697,249
484,5143.01869159,3600.11308411,6685.92429907,250
485,5144.15690867,3600.90983607,6687.40398126,250
486,5152.99061033,3607.09342723,6698.88779343,250
487,5144.06352941,3600.84447059,6687.28258824,250
488,5140.1509434,3598.10566038,6682.19622642,250
489,5136.06382979,3595.24468085,6676.88297872,250
490,5125.10900474,3587.57630332,6662.64170616,250
491,5121.90736342,3585.33515439,6658.47957245,250
492,5110.62619048,3577.43833333,6643.81404762,251
493,5116.10739857,3581.275179,6650.93961814,251
494,5116.8062201,3581.76435407,6651.84808612,251
495,5113.01199041,3579.10839329,6646.91558753,251
496,5124.46153846,3587.12307692,6661.8,251
497,5116.31807229,3581.4226506,6651.21349398,251
498,5121.85990338,3585.30193237,6658.4178744,251
499,5116.29539952,3581.40677966,6651.18401937,253
500,5104.95620438,3573.46934307,6636.44306569,253
501,5107.1407767,3574.99854369,6639.28300971,253
502,5106.42195122,3574.49536585,6638.34853659,253
503,5102.29584352,3571.60709046,6632.98459658,253
504,5105.75490196,3574.02843137,6637.48137255,254
505,5101.01474201,3570.71031941,6631.31916462,255
506,5105.61083744,3573.92758621,6637.29408867,255
507,5116.83703704,3581.78592593,6651.88814815,255
508,5109.72029703,3576.80420792,6642.63638614,255
509,5109.84863524,3576.89404467,6642.80322581,255
510,5111.64837905,3578.15386534,6645.14289277,256
511,5118.80348259,3583.16243781,6654.44452736,256
512,5111.7675,3578.23725,6645.29775,256
513,5187.81216458,3631.46851521,6744.15581395,256
514,5204.71942446,3643.30359712,6766.1352518,256
