Events Sent, Average throughput (events/second)
1489927, 996.7602439582611
1490027, 996.7604613876124
1490127, 996.7606787877812
1490228, 996.7602272940785
1490328, 996.7604446806341
1490428, 996.7606620380186
1490529, 996.7602106366263
1490629, 996.7604279804028
1490729, 996.76064529502
1490830, 996.7601939859004
1490930, 996.7604112869149
1491030, 996.7606285587816
1491130, 996.7608458015062
1491231, 996.7603946001659
1491331, 996.7606118292988
1491431, 996.7608290293014
1491531, 996.7610462001796
1491632, 996.7605951065678
1491732, 996.7608122638651
1491832, 996.7610293920495
1491932, 996.7612464911269
1492033, 996.7607955051933
1492133, 996.7610125907007
1492233, 996.7612296471128
1492333, 996.7614466744352
1492434, 996.760995796129
1492534, 996.7612128098924
1492634, 996.7614297945779
1492735, 996.7609790083304
1492835, 996.761195979462
1492935, 996.761412921527
1493035, 996.7616298345316
1493136, 996.761179155817
1493236, 996.7613960552786
1493336, 996.7616129256912
1493437, 996.7611623389537
1493537, 996.7613791958285
1493637, 996.7615960236658
1493738, 996.7611455288678
1493838, 996.7613623431723
1493938, 996.7615791284511
1494038, 996.7617958847098
1494139, 996.7613454973065
1494239, 996.7615622400433
1494339, 996.7617789537715
1494440, 996.7613286582265
1494540, 996.7615453584381
1494640, 996.7617620296526
1494741, 996.7613118259284
1494841, 996.7615284836314
1494941, 996.761745112349
1495041, 996.7619617120869
1495142, 996.7615116156192
1495242, 996.7617282018563
1495342, 996.7619447591254
1495443, 996.7614947543973
1495543, 996.7617112981706
1495643, 996.7619278129874
1495743, 996.7621442988535
1495844, 996.7616944012879
1495944, 996.7619108736691
1496044, 996.762127317111
1496145, 996.7616775112039
1496245, 996.7618939411661
1496345, 996.7621103422006
1496445, 996.762326714313
1496546, 996.7618770154743
1496646, 996.7620933741179
1496746, 996.762309703851
1496847, 996.7618600965898
1496947, 996.762076412859
1497047, 996.7622927002292
1497148, 996.7618431845082
1497248, 996.7620594584197
1497348, 996.7622757034437
1497448, 996.7624919195858
1497549, 996.7620425107959
1497649, 996.7622587134903
1497749, 996.7624748873142
1497850, 996.7620255699836
1497950, 996.7622417303648
1498050, 996.7624578618871
1498150, 996.7626739645563
1498251, 996.7622247540633
1498351, 996.7624408433005
1498451, 996.7626569036959
1498552, 996.7622077845814
1498652, 996.76242383155
1498752, 996.7626398496883
1498852, 996.7628558390021
1498953, 996.7624068266316
1499053, 996.7626228025293
1499153, 996.7628387496139
1499254, 996.7623898285414
1499354, 996.762605762215
1499454, 996.7628216670869
1499554, 996.7630375431629
1499655, 996.7625887287409
1499755, 996.7628045914166
1499855, 996.7630204253078
1499956, 996.7625717021033
1500056, 996.7627875225992
1500156, 996.763003314322
1500256, 996.7632190772775
1500357, 996.7627704606303
1500457, 996.7629862102013
1500557, 996.7632019310163
1500657, 996.7634176230811
1500758, 996.7629691129416
1500858, 996.7631847916325
1500958, 996.7634004415846
1501059, 996.7629520225387
1501159, 996.7631676591221
1501259, 996.7633832669779
1501359, 996.7635988461121
1501460, 996.7631505334807
1501560, 996.7633660992567
1501660, 996.7635816363226
1501761, 996.7631334147045
1501861, 996.7633489384172
1501961, 996.7635644334307
1502061, 996.7637798997511
1502162, 996.7633317844546
1502262, 996.7635472374327
1502362, 996.7637626617286
1502462, 996.7639780573485
1502563, 996.7635300483241
1502663, 996.7637454306122
1502763, 996.7639607842355
1502864, 996.763512866101
1502964, 996.7637282063974
1503064, 996.7639435180404
1503164, 996.7641588010356
1503265, 996.7637109890804
1503365, 996.7639262587595
1503465, 996.7641414998021
1503566, 996.763693778657
1503666, 996.7639090063883
1503766, 996.7641242054948
