Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 7051, maxHumidity : 999825, timeSpent : 8126
     [java] Event: count : 7126, maxHumidity : 999825, timeSpent : 8212
     [java] Event: count : 7201, maxHumidity : 999825, timeSpent : 8299
     [java] Event: count : 7276, maxHumidity : 999825, timeSpent : 8385
     [java] Event: count : 7351, maxHumidity : 999825, timeSpent : 8471
     [java] Event: count : 7426, maxHumidity : 999825, timeSpent : 8557
     [java] Event: count : 7501, maxHumidity : 999825, timeSpent : 8644
     [java] Event: count : 7576, maxHumidity : 999825, timeSpent : 8728
     [java] Event: count : 7651, maxHumidity : 999825, timeSpent : 8812
     [java] Event: count : 7726, maxHumidity : 999825, timeSpent : 8895
     [java] Event: count : 7801, maxHumidity : 999825, timeSpent : 8980
     [java] Event: count : 7876, maxHumidity : 999825, timeSpent : 9067
     [java] Event: count : 7951, maxHumidity : 999825, timeSpent : 9153
     [java] Event: count : 8026, maxHumidity : 999825, timeSpent : 9241
     [java] Event: count : 8101, maxHumidity : 999825, timeSpent : 9330
     [java] Event: count : 8176, maxHumidity : 999825, timeSpent : 9417
     [java] Event: count : 8251, maxHumidity : 999825, timeSpent : 9503
     [java] Event: count : 8326, maxHumidity : 999825, timeSpent : 9590
     [java] Event: count : 8401, maxHumidity : 999825, timeSpent : 9676
     [java] Event: count : 8476, maxHumidity : 999825, timeSpent : 9763
     [java] Event: count : 8551, maxHumidity : 999825, timeSpent : 9849
     [java] Event: count : 8626, maxHumidity : 999825, timeSpent : 9936
     [java] Event: count : 8701, maxHumidity : 999825, timeSpent : 10022
     [java] Event: count : 8776, maxHumidity : 999825, timeSpent : 10109
     [java] Event: count : 8851, maxHumidity : 999825, timeSpent : 10197
     [java] Event: count : 8926, maxHumidity : 999825, timeSpent : 10286
     [java] Event: count : 9001, maxHumidity : 999825, timeSpent : 10373
     [java] Event: count : 9076, maxHumidity : 999825, timeSpent : 10459
     [java] Event: count : 9151, maxHumidity : 999825, timeSpent : 10547
     [java] Event: count : 9226, maxHumidity : 999825, timeSpent : 10635
     [java] Event: count : 9301, maxHumidity : 999825, timeSpent : 10723
     [java] Event: count : 9376, maxHumidity : 999825, timeSpent : 10810
     [java] Event: count : 9451, maxHumidity : 999825, timeSpent : 10896
     [java] Event: count : 9526, maxHumidity : 999825, timeSpent : 10979
     [java] Event: count : 9601, maxHumidity : 999825, timeSpent : 11063
     [java] Event: count : 9676, maxHumidity : 999825, timeSpent : 11149
     [java] Event: count : 9751, maxHumidity : 999825, timeSpent : 11237
     [java] Event: count : 9826, maxHumidity : 999825, timeSpent : 11323
     [java] Event: count : 9901, maxHumidity : 999825, timeSpent : 11411
     [java] Event: count : 9976, maxHumidity : 999825, timeSpent : 11498
     [java] Event: count : 10051, maxHumidity : 999825, timeSpent : 11585
     [java] Event: count : 10126, maxHumidity : 999825, timeSpent : 11673
     [java] Event: count : 10201, maxHumidity : 999825, timeSpent : 11759
     [java] Event: count : 10276, maxHumidity : 999825, timeSpent : 11846
     [java] Event: count : 10351, maxHumidity : 999825, timeSpent : 11933
     [java] Event: count : 10426, maxHumidity : 999825, timeSpent : 12021
     [java] Event: count : 10501, maxHumidity : 999825, timeSpent : 12107
     [java] Event: count : 10576, maxHumidity : 999825, timeSpent : 12195
     [java] Event: count : 10651, maxHumidity : 999825, timeSpent : 12280
     [java] Event: count : 10726, maxHumidity : 999825, timeSpent : 12364
     [java] Event: count : 10801, maxHumidity : 999825, timeSpent : 12450
     [java] Event: count : 10876, maxHumidity : 999825, timeSpent : 12538
     [java] Event: count : 10951, maxHumidity : 999825, timeSpent : 12625
     [java] Event: count : 11026, maxHumidity : 999825, timeSpent : 12712
     [java] Event: count : 11101, maxHumidity : 999825, timeSpent : 12811
     [java] Event: count : 11176, maxHumidity : 999825, timeSpent : 12895
     [java] Event: count : 11251, maxHumidity : 999825, timeSpent : 12977
     [java] Event: count : 11326, maxHumidity : 999825, timeSpent : 13062
     [java] Event: count : 11401, maxHumidity : 999825, timeSpent : 13149
     [java] Event: count : 11476, maxHumidity : 999825, timeSpent : 13236
     [java] Event: count : 11551, maxHumidity : 999825, timeSpent : 13323
     [java] Event: count : 11626, maxHumidity : 999825, timeSpent : 13410
     [java] Event: count : 11701, maxHumidity : 999825, timeSpent : 13494
     [java] Event: count : 11776, maxHumidity : 999825, timeSpent : 13582
     [java] Event: count : 11851, maxHumidity : 999825, timeSpent : 13668
     [java] Event: count : 11926, maxHumidity : 999825, timeSpent : 13755
     [java] Event: count : 12001, maxHumidity : 999825, timeSpent : 13844
     [java] Event: count : 12076, maxHumidity : 999825, timeSpent : 13933
     [java] Event: count : 12151, maxHumidity : 999825, timeSpent : 14018
     [java] Event: count : 12226, maxHumidity : 999825, timeSpent : 14112
     [java] Event: count : 12301, maxHumidity : 999825, timeSpent : 14198
     [java] Event: count : 12376, maxHumidity : 999825, timeSpent : 14287
     [java] Event: count : 12451, maxHumidity : 999825, timeSpent : 14373
     [java] Event: count : 12526, maxHumidity : 999825, timeSpent : 14460
     [java] Event: count : 12601, maxHumidity : 999825, timeSpent : 14547
     [java] Event: count : 12676, maxHumidity : 999825, timeSpent : 14636
     [java] Event: count : 12751, maxHumidity : 999825, timeSpent : 14722
     [java] Event: count : 12826, maxHumidity : 999825, timeSpent : 14814
     [java] Event: count : 12901, maxHumidity : 999825, timeSpent : 14897
     [java] Event: count : 12976, maxHumidity : 999825, timeSpent : 14982
     [java] Event: count : 13051, maxHumidity : 999825, timeSpent : 15068
     [java] Event: count : 13126, maxHumidity : 999825, timeSpent : 15156
     [java] Event: count : 13201, maxHumidity : 999825, timeSpent : 15241
     [java] Event: count : 13276, maxHumidity : 999825, timeSpent : 15326
     [java] Event: count : 13351, maxHumidity : 999825, timeSpent : 15413
     [java] Event: count : 13426, maxHumidity : 999825, timeSpent : 15500
     [java] Event: count : 13501, maxHumidity : 999825, timeSpent : 15587
     [java] Event: count : 13576, maxHumidity : 999825, timeSpent : 15680
     [java] Event: count : 13651, maxHumidity : 999825, timeSpent : 15767
     [java] Event: count : 13726, maxHumidity : 999825, timeSpent : 15855
     [java] Event: count : 13801, maxHumidity : 999825, timeSpent : 15941
     [java] Event: count : 13876, maxHumidity : 999825, timeSpent : 16028
     [java] Event: count : 13951, maxHumidity : 999825, timeSpent : 16116
     [java] Event: count : 14026, maxHumidity : 999825, timeSpent : 16202
     [java] Event: count : 14101, maxHumidity : 999825, timeSpent : 16289
     [java] Event: count : 14176, maxHumidity : 999825, timeSpent : 16376
     [java] Event: count : 14251, maxHumidity : 999825, timeSpent : 16463
     [java] Event: count : 14326, maxHumidity : 999825, timeSpent : 16550
     [java] Event: count : 14401, maxHumidity : 999825, timeSpent : 16636
     [java] Event: count : 14476, maxHumidity : 999825, timeSpent : 16725
     [java] Event: count : 14551, maxHumidity : 999825, timeSpent : 16815
     [java] Event: count : 14626, maxHumidity : 999825, timeSpent : 16898
     [java] Event: count : 14701, maxHumidity : 999825, timeSpent : 16984
     [java] Event: count : 14776, maxHumidity : 999825, timeSpent : 17071
     [java] Event: count : 14851, maxHumidity : 999825, timeSpent : 17157
     [java] Event: count : 14926, maxHumidity : 999825, timeSpent : 17241
     [java] Event: count : 15001, maxHumidity : 999825, timeSpent : 17332
     [java] Event: count : 15076, maxHumidity : 999825, timeSpent : 17419
     [java] Event: count : 15151, maxHumidity : 999825, timeSpent : 17508
     [java] Event: count : 15226, maxHumidity : 999825, timeSpent : 17595
     [java] Event: count : 15301, maxHumidity : 999825, timeSpent : 17682
     [java] Event: count : 15376, maxHumidity : 999825, timeSpent : 17769
     [java] Event: count : 15451, maxHumidity : 999825, timeSpent : 17858
     [java] Event: count : 15526, maxHumidity : 999825, timeSpent : 17945
     [java] Event: count : 15601, maxHumidity : 999825, timeSpent : 18031
     [java] Event: count : 15676, maxHumidity : 999825, timeSpent : 18118
     [java] Event: count : 15751, maxHumidity : 999825, timeSpent : 18205
     [java] Event: count : 15826, maxHumidity : 999825, timeSpent : 18292
     [java] Event: count : 15901, maxHumidity : 999825, timeSpent : 18381
     [java] Event: count : 15976, maxHumidity : 999825, timeSpent : 18468
     [java] Event: count : 16051, maxHumidity : 999825, timeSpent : 18554
     [java] Event: count : 16126, maxHumidity : 999825, timeSpent : 18642
     [java] Event: count : 16201, maxHumidity : 999825, timeSpent : 18729
     [java] Event: count : 16276, maxHumidity : 999825, timeSpent : 18820
     [java] Event: count : 16351, maxHumidity : 999825, timeSpent : 18903
     [java] Event: count : 16426, maxHumidity : 999825, timeSpent : 18989
     [java] Event: count : 16501, maxHumidity : 999825, timeSpent : 19075
     [java] Event: count : 16576, maxHumidity : 999825, timeSpent : 19161
     [java] Event: count : 16651, maxHumidity : 999825, timeSpent : 19247
     [java] Event: count : 16726, maxHumidity : 999825, timeSpent : 19337
     [java] Event: count : 16801, maxHumidity : 999825, timeSpent : 19422
     [java] Event: count : 16876, maxHumidity : 999825, timeSpent : 19510
     [java] Event: count : 16951, maxHumidity : 999825, timeSpent : 19597
     [java] Event: count : 17026, maxHumidity : 999833, timeSpent : 19686
     [java] Event: count : 17101, maxHumidity : 999833, timeSpent : 19773
     [java] Event: count : 17176, maxHumidity : 999833, timeSpent : 19862
     [java] Event: count : 17251, maxHumidity : 999833, timeSpent : 19949
     [java] Event: count : 17326, maxHumidity : 999833, timeSpent : 20037
     [java] Event: count : 17401, maxHumidity : 999833, timeSpent : 20124
     [java] Event: count : 17476, maxHumidity : 999833, timeSpent : 20211
     [java] Event: count : 17551, maxHumidity : 999833, timeSpent : 20300
     [java] Event: count : 17626, maxHumidity : 999833, timeSpent : 20390
     [java] Event: count : 17701, maxHumidity : 999833, timeSpent : 20474
     [java] Event: count : 17776, maxHumidity : 999833, timeSpent : 20561
     [java] Event: count : 17851, maxHumidity : 999833, timeSpent : 20648
     [java] Event: count : 17926, maxHumidity : 999833, timeSpent : 20735
     [java] Event: count : 18001, maxHumidity : 999833, timeSpent : 20822
     [java] Event: count : 18076, maxHumidity : 999833, timeSpent : 20905
     [java] Event: count : 18151, maxHumidity : 999833, timeSpent : 20987
     [java] Event: count : 18226, maxHumidity : 999833, timeSpent : 21075
     [java] Event: count : 18301, maxHumidity : 999833, timeSpent : 21160
     [java] Event: count : 18376, maxHumidity : 999833, timeSpent : 21247
     [java] Event: count : 18451, maxHumidity : 999833, timeSpent : 21332
     [java] Event: count : 18526, maxHumidity : 999833, timeSpent : 21421
     [java] Event: count : 18601, maxHumidity : 999833, timeSpent : 21504
     [java] Event: count : 18676, maxHumidity : 999833, timeSpent : 21595
     [java] Event: count : 18751, maxHumidity : 999833, timeSpent : 21679
     [java] Event: count : 18826, maxHumidity : 999833, timeSpent : 21763
     [java] Event: count : 18901, maxHumidity : 999833, timeSpent : 21850
     [java] Event: count : 18976, maxHumidity : 999833, timeSpent : 21936
     [java] Event: count : 19051, maxHumidity : 999833, timeSpent : 22023
     [java] Event: count : 19126, maxHumidity : 999833, timeSpent : 22112
     [java] Event: count : 19201, maxHumidity : 999833, timeSpent : 22199
     [java] Event: count : 19276, maxHumidity : 999833, timeSpent : 22284
     [java] Event: count : 19351, maxHumidity : 999833, timeSpent : 22389
     [java] Event: count : 19426, maxHumidity : 999833, timeSpent : 22476
     [java] Event: count : 19501, maxHumidity : 999833, timeSpent : 22564
     [java] Event: count : 19576, maxHumidity : 999833, timeSpent : 22650
     [java] Event: count : 19651, maxHumidity : 999833, timeSpent : 22738
     [java] Event: count : 19726, maxHumidity : 999833, timeSpent : 22826
     [java] Event: count : 19801, maxHumidity : 999833, timeSpent : 22912
     [java] Event: count : 19876, maxHumidity : 999833, timeSpent : 22996
     [java] Event: count : 19951, maxHumidity : 999833, timeSpent : 23085
     [java] Event: count : 20026, maxHumidity : 999833, timeSpent : 23171
     [java] Event: count : 20101, maxHumidity : 999845, timeSpent : 23260
     [java] Event: count : 20176, maxHumidity : 999845, timeSpent : 23348
     [java] Event: count : 20251, maxHumidity : 999845, timeSpent : 23434
     [java] Event: count : 20326, maxHumidity : 999845, timeSpent : 23520
     [java] Event: count : 20401, maxHumidity : 999845, timeSpent : 23606
     [java] Event: count : 20476, maxHumidity : 999845, timeSpent : 23695
     [java] Event: count : 20551, maxHumidity : 999845, timeSpent : 23780
     [java] Event: count : 20626, maxHumidity : 999845, timeSpent : 23869
     [java] Event: count : 20701, maxHumidity : 999845, timeSpent : 23956
     [java] Event: count : 20776, maxHumidity : 999845, timeSpent : 24043
     [java] Event: count : 20851, maxHumidity : 999845, timeSpent : 24133
     [java] Event: count : 20926, maxHumidity : 999845, timeSpent : 24218
     [java] Event: count : 21001, maxHumidity : 999845, timeSpent : 24304
     [java] Event: count : 21076, maxHumidity : 999845, timeSpent : 24394
     [java] Event: count : 21151, maxHumidity : 999845, timeSpent : 24480
     [java] Event: count : 21226, maxHumidity : 999845, timeSpent : 24568
     [java] Event: count : 21301, maxHumidity : 999845, timeSpent : 24655
     [java] Event: count : 21376, maxHumidity : 999845, timeSpent : 24740
     [java] Event: count : 21451, maxHumidity : 999845, timeSpent : 24826
     [java] Event: count : 21526, maxHumidity : 999845, timeSpent : 24912
     [java] Event: count : 21601, maxHumidity : 999845, timeSpent : 25001
     [java] Event: count : 21676, maxHumidity : 999845, timeSpent : 25088
     [java] Event: count : 21751, maxHumidity : 999845, timeSpent : 25175
     [java] Event: count : 21826, maxHumidity : 999845, timeSpent : 25260
     [java] Event: count : 21901, maxHumidity : 999886, timeSpent : 25352
     [java] Event: count : 21976, maxHumidity : 999886, timeSpent : 25438
     [java] Event: count : 22051, maxHumidity : 999886, timeSpent : 25531
     [java] Event: count : 22126, maxHumidity : 999886, timeSpent : 25616
     [java] Event: count : 22201, maxHumidity : 999886, timeSpent : 25702
     [java] Event: count : 22276, maxHumidity : 999886, timeSpent : 25791
     [java] Event: count : 22351, maxHumidity : 999886, timeSpent : 25878
     [java] Event: count : 22426, maxHumidity : 999886, timeSpent : 25964
     [java] Event: count : 22501, maxHumidity : 999886, timeSpent : 26050
     [java] Event: count : 22576, maxHumidity : 999886, timeSpent : 26137
     [java] Event: count : 22651, maxHumidity : 999886, timeSpent : 26224
     [java] Event: count : 22726, maxHumidity : 999886, timeSpent : 26313
     [java] Event: count : 22801, maxHumidity : 999886, timeSpent : 26400
     [java] Event: count : 22876, maxHumidity : 999886, timeSpent : 26487
     [java] Event: count : 22951, maxHumidity : 999886, timeSpent : 26572
     [java] Event: count : 23026, maxHumidity : 999886, timeSpent : 26659
     [java] Event: count : 23101, maxHumidity : 999886, timeSpent : 26746
     [java] Event: count : 23176, maxHumidity : 999886, timeSpent : 26833
     [java] Event: count : 23251, maxHumidity : 999886, timeSpent : 26924
     [java] Event: count : 23326, maxHumidity : 999886, timeSpent : 27011
     [java] Event: count : 23401, maxHumidity : 999886, timeSpent : 27099
     [java] Event: count : 23476, maxHumidity : 999886, timeSpent : 27186
     [java] Event: count : 23551, maxHumidity : 999886, timeSpent : 27272
     [java] Event: count : 23626, maxHumidity : 999886, timeSpent : 27359
     [java] Event: count : 23701, maxHumidity : 999886, timeSpent : 27446
     [java] Event: count : 23776, maxHumidity : 999886, timeSpent : 27535
     [java] Event: count : 23851, maxHumidity : 999886, timeSpent : 27621
     [java] Event: count : 23926, maxHumidity : 999886, timeSpent : 27709
     [java] Event: count : 24001, maxHumidity : 999886, timeSpent : 27796
     [java] Event: count : 24076, maxHumidity : 999886, timeSpent : 27884
     [java] Event: count : 24151, maxHumidity : 999886, timeSpent : 27969
     [java] Event: count : 24226, maxHumidity : 999886, timeSpent : 28056
     [java] Event: count : 24301, maxHumidity : 999886, timeSpent : 28142
     [java] Event: count : 24376, maxHumidity : 999886, timeSpent : 28228
     [java] Event: count : 24451, maxHumidity : 999886, timeSpent : 28314
     [java] Event: count : 24526, maxHumidity : 999886, timeSpent : 28405
     [java] Event: count : 24601, maxHumidity : 999886, timeSpent : 28489
     [java] Event: count : 24676, maxHumidity : 999886, timeSpent : 28574
     [java] Event: count : 24751, maxHumidity : 999886, timeSpent : 28659
     [java] Event: count : 24826, maxHumidity : 999886, timeSpent : 28745
