events count, max value,lower bound - 0.3, upper bound - 0.3, timeSpent
337,999886.0,699920.2,1299851.8,29188
338,999886.0,699920.2,1299851.8,29276
339,999886.0,699920.2,1299851.8,29362
340,999886.0,699920.2,1299851.8,29455
341,999886.0,699920.2,1299851.8,29542
342,999886.0,699920.2,1299851.8,29626
343,999886.0,699920.2,1299851.8,29713
344,999886.0,699920.2,1299851.8,29800
345,999886.0,699920.2,1299851.8,29888
346,999886.0,699920.2,1299851.8,29975
347,999886.0,699920.2,1299851.8,30063
348,999886.0,699920.2,1299851.8,30150
349,999886.0,699920.2,1299851.8,30238
350,999886.0,699920.2,1299851.8,30325
351,999886.0,699920.2,1299851.8,30417
352,999886.0,699920.2,1299851.8,30508
353,999886.0,699920.2,1299851.8,30597
354,999886.0,699920.2,1299851.8,30684
355,999886.0,699920.2,1299851.8,30771
356,999886.0,699920.2,1299851.8,30858
357,999886.0,699920.2,1299851.8,30945
358,999886.0,699920.2,1299851.8,31032
359,999886.0,699920.2,1299851.8,31118
360,999886.0,699920.2,1299851.8,31205
361,999886.0,699920.2,1299851.8,31288
362,999886.0,699920.2,1299851.8,31373
363,999886.0,699920.2,1299851.8,31465
364,999886.0,699920.2,1299851.8,31551
365,999886.0,699920.2,1299851.8,31636
366,999886.0,699920.2,1299851.8,31721
367,999886.0,699920.2,1299851.8,31814
368,999886.0,699920.2,1299851.8,31903
369,999886.0,699920.2,1299851.8,31990
370,999886.0,699920.2,1299851.8,32074
371,999886.0,699920.2,1299851.8,32154
372,999886.0,699920.2,1299851.8,32235
373,999886.0,699920.2,1299851.8,32315
374,999886.0,699920.2,1299851.8,32395
375,999886.0,699920.2,1299851.8,32478
376,999886.0,699920.2,1299851.8,32561
377,999886.0,699920.2,1299851.8,32646
378,999886.0,699920.2,1299851.8,32724
379,999886.0,699920.2,1299851.8,32797
380,999886.0,699920.2,1299851.8,32879
381,999886.0,699920.2,1299851.8,32957
382,999886.0,699920.2,1299851.8,33037
383,999886.0,699920.2,1299851.8,33118
384,999886.0,699920.2,1299851.8,33202
385,999886.0,699920.2,1299851.8,33284
386,999886.0,699920.2,1299851.8,33364
387,999886.0,699920.2,1299851.8,33448
388,999886.0,699920.2,1299851.8,33531
389,999886.0,699920.2,1299851.8,33611
390,999886.0,699920.2,1299851.8,33693
391,999886.0,699920.2,1299851.8,33773
392,999886.0,699920.2,1299851.8,33852
393,999886.0,699920.2,1299851.8,33933
394,999886.0,699920.2,1299851.8,34016
395,999886.0,699920.2,1299851.8,34097
396,999886.0,699920.2,1299851.8,34172
397,999886.0,699920.2,1299851.8,34252
398,999886.0,699920.2,1299851.8,34328
399,999886.0,699920.2,1299851.8,34421
400,999886.0,699920.2,1299851.8,34503
401,999886.0,699920.2,1299851.8,34584
402,999886.0,699920.2,1299851.8,34665
403,999886.0,699920.2,1299851.8,34746
404,999886.0,699920.2,1299851.8,34829
405,999886.0,699920.2,1299851.8,34911
406,999886.0,699920.2,1299851.8,34990
407,999886.0,699920.2,1299851.8,35068
408,999886.0,699920.2,1299851.8,35148
409,999886.0,699920.2,1299851.8,35230
410,999886.0,699920.2,1299851.8,35310
411,999886.0,699920.2,1299851.8,35395
412,999886.0,699920.2,1299851.8,35479
413,999886.0,699920.2,1299851.8,35559
414,999886.0,699920.2,1299851.8,35638
415,999886.0,699920.2,1299851.8,35723
416,999886.0,699920.2,1299851.8,35803
417,999886.0,699920.2,1299851.8,35881
418,999886.0,699920.2,1299851.8,35963
419,999886.0,699920.2,1299851.8,36043
420,999886.0,699920.2,1299851.8,36124
421,999886.0,699920.2,1299851.8,36207
422,999886.0,699920.2,1299851.8,36287
423,999886.0,699920.2,1299851.8,36373
424,999886.0,699920.2,1299851.8,36454
425,999886.0,699920.2,1299851.8,36536
426,999886.0,699920.2,1299851.8,36615
427,999886.0,699920.2,1299851.8,36694
428,999886.0,699920.2,1299851.8,36771
429,999886.0,699920.2,1299851.8,36847
430,999886.0,699920.2,1299851.8,36936
431,999886.0,699920.2,1299851.8,37016
432,999886.0,699920.2,1299851.8,37099
433,999886.0,699920.2,1299851.8,37177
434,999886.0,699920.2,1299851.8,37255
435,999886.0,699920.2,1299851.8,37330
436,999886.0,699920.2,1299851.8,37409
437,999886.0,699920.2,1299851.8,37497
438,999886.0,699920.2,1299851.8,37579
439,999886.0,699920.2,1299851.8,37660
440,999886.0,699920.2,1299851.8,37740
441,999886.0,699920.2,1299851.8,37814
442,999886.0,699920.2,1299851.8,37893
443,999886.0,699920.2,1299851.8,37976
444,999886.0,699920.2,1299851.8,38053
445,999886.0,699920.2,1299851.8,38136
446,999886.0,699920.2,1299851.8,38218
447,999886.0,699920.2,1299851.8,38296
448,999886.0,699920.2,1299851.8,38375
449,999886.0,699920.2,1299851.8,38459
450,999886.0,699920.2,1299851.8,38537
451,999886.0,699920.2,1299851.8,38616
452,999886.0,699920.2,1299851.8,38697
453,999886.0,699920.2,1299851.8,38782
454,999886.0,699920.2,1299851.8,38862
455,999886.0,699920.2,1299851.8,38945
456,999886.0,699920.2,1299851.8,39025
457,999886.0,699920.2,1299851.8,39106
458,999886.0,699920.2,1299851.8,39185
459,999886.0,699920.2,1299851.8,39264
460,999886.0,699920.2,1299851.8,39343
461,999886.0,699920.2,1299851.8,39430
462,999886.0,699920.2,1299851.8,39508
463,999886.0,699920.2,1299851.8,39593
464,999886.0,699920.2,1299851.8,39678
465,999886.0,699920.2,1299851.8,39758
466,999886.0,699920.2,1299851.8,39840
467,999886.0,699920.2,1299851.8,39928
468,999886.0,699920.2,1299851.8,40016
469,999886.0,699920.2,1299851.8,40105
470,999886.0,699920.2,1299851.8,40188
471,999886.0,699920.2,1299851.8,40266
472,999886.0,699920.2,1299851.8,40350
473,999886.0,699920.2,1299851.8,40432
474,999886.0,699920.2,1299851.8,40512
475,999886.0,699920.2,1299851.8,40593
476,999886.0,699920.2,1299851.8,40674
477,999886.0,699920.2,1299851.8,40760
478,999886.0,699920.2,1299851.8,40837
479,999886.0,699920.2,1299851.8,40917
480,999886.0,699920.2,1299851.8,40999
481,999886.0,699920.2,1299851.8,41076
482,999886.0,699920.2,1299851.8,41150
483,999886.0,699920.2,1299851.8,41233
484,999886.0,699920.2,1299851.8,41314
485,999886.0,699920.2,1299851.8,41391
486,999886.0,699920.2,1299851.8,41475
