events count, average value, timeSpent
138,5331.248554913294,823
139,5307.174418604651,824
140,5310.222222222223,827
141,5335.382352941177,907
142,5346.670807453416,908
143,5370.2208588957055,910
144,5172.822335025381,911
145,5193.255102040816,911
146,5211.289855072464,913
147,5200.7067307692305,914
148,5220.712918660287,914
149,5217.310185185185,915
150,5096.421428571429,919
151,5331.508875739645,924
152,5164.245161290322,925
153,5155.167202572347,925
154,5149.99358974359,926
155,5161.313099041534,926
156,5345.886904761905,927
157,5371.568862275449,927
158,5375.472727272727,933
159,5356.158536585366,957
160,5356.759259259259,965
161,5334.61875,1001
162,5311.496855345912,1009
163,5307.208860759493,1012
164,5290.987261146497,1016
165,5312.102564102564,1018
166,5342.077419354839,1021
167,5341.337662337663,1029
168,5327.529411764706,1046
169,5313.763157894737,1061
170,5327.887417218543,1075
171,5318.953333333333,1077
172,5323.395973154363,1085
173,5328.9324324324325,1085
174,5335.809523809524,1086
175,5359.643835616438,1087
176,5390.889655172414,1087
177,5395.354166666667,1087
178,5430.104895104895,1088
179,5467.556338028169,1088
180,5463.744680851064,1089
181,5445.714285714285,1089
182,5455.410071942446,1089
183,5148.932135728543,1096
184,5149.711155378486,1096
185,5428.007246376812,1100
186,5424.992700729927,1100
187,5428.919117647059,1101
188,5481.214876033057,1102
189,5159.462301587301,1113
190,5152.332007952286,1114
191,5142.658777120316,1114
192,5153.421782178218,1114
193,5130.930966469428,1115
194,5128.142292490119,1115
195,5128.930693069307,1115
196,5117.278978388998,1115
197,5122.153241650295,1116
198,5116.9842519685035,1116
199,5122.516765285996,1116
200,5131.063241106719,1116
201,5136.075247524753,1117
202,5142.938492063492,1117
203,5151.79125248509,1117
204,5149.649402390438,1117
205,5149.78243512974,1118
206,5152.679358717435,1118
207,5181.747058823529,1118
208,5157.853413654619,1118
209,5156.247484909457,1118
210,5162.5,1119
211,5159.250505050505,1119
212,5165.977732793523,1119
213,5175.170385395538,1119
214,5165.806910569106,1119
215,5160.303462321792,1119
216,5153.018367346939,1120
217,5145.957055214724,1120
218,5141.004098360656,1120
219,5142.158110882957,1120
220,5134.0123456790125,1121
221,5142.719587628866,1121
222,5134.727272727273,1122
223,5140.910973084886,1124
224,5145.004149377593,1126
225,5143.012474012474,1128
226,5134.241666666667,1134
227,5130.409185803758,1134
228,5128.489539748954,1145
229,5134.4067085953875,1148
230,5124.802521008403,1152
231,5134.442105263158,1156
232,5136.310126582279,1156
233,5123.782700421941,1156
234,5118.477801268499,1156
235,5114.561440677966,1156
236,5105.3991507431,1157
237,5109.378723404256,1157
238,5109.488272921109,1157
239,5119.211538461538,1157
240,5119.329764453962,1158
241,5115.218884120171,1160
242,5118.281720430107,1162
243,5114.670258620689,1165
244,5119.639308855291,1168
245,5111.363636363636,1170
246,5119.175704989154,1173
247,5112.639130434783,1174
248,5108.812636165578,1177
249,5107.089519650655,1180
250,5096.910284463895,1183
251,5097.508771929824,1185
252,5091.147252747252,1191
253,5088.1035242290745,1194
254,5084.317880794702,1196
255,5095.524336283186,1198
256,5084.960088691796,1200
257,5076.508888888889,1202
258,5087.641425389755,1204
259,5084.044642857143,1208
260,5092.3288590604025,1210
261,5095.813901345292,1214
262,5103.4651685393255,1216
263,5095.972972972973,1218
264,5101.106094808127,1221
265,5090.088235294118,1223
266,5092.65306122449,1225
267,5082.351473922902,1228
268,5073.568181818182,1230
269,5065.753986332574,1233
270,5076.520547945205,1238
271,5082.427917620137,1239
272,5086.614678899083,1239
273,5094.416091954023,1239
274,5093.375576036867,1240
275,5083.027713625866,1240
276,5077.488425925926,1240
277,5077.879350348027,1241
278,5072.772093023255,1241
279,5083.3519813519815,1242
280,5079.792056074766,1242
281,5088.192037470726,1243
282,5081.225352112676,1243
283,5090.969411764706,1243
284,5085.337264150943,1243
285,5091.9503546099295,1243
286,5083.0118483412325,1244
287,5074.631828978622,1244
288,5082.164285714286,1244
289,5081.665871121719,1244
290,5085.404306220095,1244
291,5076.976019184653,1244
292,5072.305288461538,1256
293,5072.534939759036,1257
294,5075.625603864734,1258
295,5076.779661016949,1258
296,5081.997572815534,1259
297,5093.790754257908,1259
298,5093.529268292683,1259
299,5089.083129584352,1263
300,5087.200980392156,1265
301,5084.218673218673,1267
302,5083.615763546798,1269
303,5086.893827160494,1275
304,5075.237623762377,1277
305,5084.7841191067,1278
306,5079.05223880597,1280
307,5148.10337972167,1282
