Events Sent, Average throughput (events/second)
1420521,996.6765714833
1420621,996.6768054252
1420721,996.6770393343
1420821,996.6772732103
1420922,996.6768056234
1421022,996.6770394829
1421122,996.6772733094
1421223,996.6768058215
1421323,996.6770396314
1421423,996.6772734084
1421523,996.6775071525
1421624,996.6770397799
1421724,996.6772735074
1421824,996.677507202
1421925,996.6770399283
1422025,996.6772736063
1422125,996.6775072515
1422225,996.6777408638
1422326,996.6772737052
1422426,996.6775073009
1422526,996.6777408638
1422627,996.677273804
1422727,996.6775073503
1422827,996.6777408638
1422928,996.6772739028
1423028,996.6775073997
1423128,996.6777408638
1423228,996.6779742951
1423329,996.6775074491
1423429,996.6777408638
1423529,996.6779742457
1423630,996.6775074984
1423730,996.6777408638
1423830,996.6779741964
1423931,996.6775075478
1424031,996.6777408638
1424131,996.677974147
1424231,996.6782073975
1424332,996.6777408638
1424432,996.6779740977
1424532,996.678207299
1424633,996.6777408638
1424733,996.6779740485
1424833,996.6782072004
1424933,996.6784403197
1425034,996.6779739992
1425134,996.6782071019
1425234,996.6784401719
1425334,996.6786732092
1425435,996.6782070035
1425535,996.6784400243
1425635,996.6786730124
1425736,996.6782069051
1425836,996.6784398767
1425936,996.6786728156
1426037,996.6782068067
1426137,996.6784397291
1426237,996.6786726189
1426337,996.6789054761
1426438,996.6784395817
1426538,996.6786724223
1426638,996.6789052303
1426739,996.6784394343
1426839,996.6786722258
1426939,996.6789049847
1427039,996.679137711
1427140,996.6786720294
1427240,996.6789047392
1427340,996.6791374165
1427441,996.678671833
1427541,996.6789044938
1427641,996.679137122
1427741,996.6793697176
1427842,996.6789042485
1427942,996.6791368277
1428042,996.6793693743
1428143,996.6789040033
1428243,996.6791365335
1428343,996.6793690311
1428443,996.6796014962
1428544,996.6791362394
1428644,996.6793686881
1428744,996.6796011042
1428845,996.6791359455
1428945,996.6793683452
1429045,996.6796007124
1429145,996.679833047
1429246,996.6793680024
1429346,996.6796003207
1429446,996.6798326065
1429547,996.6793676598
1429647,996.6795999292
1429747,996.6798321661
1429847,996.6800643705
1429948,996.6795995379
1430048,996.6798317259
1430148,996.6800638815
1430249,996.6795991467
1430349,996.6798312859
1430449,996.6800633927
1430549,996.680295467
1430650,996.6798308461
1430750,996.6800629041
1430850,996.6802949296
1430951,996.6798304065
1431051,996.6800624157
1431151,996.6802943924
1431252,996.6798299671
1431352,996.6800619275
1431452,996.6802938555
1431552,996.6805257511
1431653,996.6800614395
1431753,996.6802933188
1431853,996.6805251656
1431954,996.6800609517
1432054,996.6802927823
1432154,996.6805245805
1432254,996.6807563463
1432355,996.680292246
1432455,996.6805239955
1432555,996.6807557127
1432656,996.6802917099
1432756,996.6805234108
1432856,996.6807550794
1432956,996.6809867156
1433057,996.6805228264
1433157,996.6807544463
1433257,996.6809860339
1433358,996.6805222422
1433458,996.6807538135
1433558,996.6809853525
1433658,996.6812168593
1433759,996.680753181
1433859,996.6809846714
1433959,996.6812161296
1434060,996.6807525487
1434160,996.6809839906
1434260,996.6812154003
1434360,996.6814467777
1434461,996.6809833101
1434561,996.6812146712
