events count, average value, timeSpent
254,5309.737373737374,454
255,5316.071065989848,454
256,5317.0459183673465,454
257,5307.374358974359,454
258,5326.69587628866,454
259,5311.59067357513,454
260,5309.71875,454
261,5297.408376963351,455
262,5302.247368421053,455
263,5323.402116402116,455
264,5328.893617021276,455
265,5319.529411764706,455
266,5330.897849462365,456
267,5341.562162162162,458
268,5364.83152173913,458
269,5362.765027322404,458
270,5365.747252747253,458
271,5361.458563535912,458
272,5343.4111111111115,458
273,5354.6815642458105,459
274,5379.887640449439,459
275,5361.785310734464,459
276,5367.238636363636,459
277,5351.091428571429,459
278,5354.310344827586,459
279,5202.0415224913495,483
280,5202.517123287671,484
281,5186.040955631399,485
282,5186.041666666667,490
283,5176.442508710801,492
284,5169.786713286713,504
285,5162.964912280701,508
286,5158.809187279152,511
287,5086.152,522
288,5095.164893617021,522
289,5083.050397877984,525
290,5082.3015873015875,527
291,5171.292253521126,529
292,5078.228947368421,529
293,5167.879432624113,529
294,5190.414285714286,529
295,5207.4874551971325,530
296,5207.3345323741005,530
297,5224.180505415163,530
298,5230.115942028986,530
299,5088.387862796833,530
300,5095.0,530
301,5082.9597855227885,533
302,5075.370967741936,534
303,5065.873315363881,535
304,5077.8135135135135,542
305,5066.428184281843,544
306,5078.309782608696,547
307,5069.662125340599,548
308,5056.631147540984,550
309,5068.243835616438,551
310,5080.873626373626,553
311,5091.286501377411,554
312,5105.168508287293,558
313,5096.152354570637,559
314,5105.191666666667,561
315,5094.593314763231,563
316,5101.639664804469,564
317,5110.114845938376,566
318,5117.002808988764,567
319,5112.025352112676,568
320,5118.169491525424,570
321,5126.337110481586,574
322,5139.34375,575
323,5150.695156695157,576
324,5159.22,578
325,5164.421203438395,580
326,5175.755747126437,582
327,5169.172839506173,582
328,5162.3919308357345,583
329,5162.49710982659,583
330,5176.304347826087,583
331,5177.84011627907,585
332,5170.600583090379,585
333,5178.9064327485385,585
334,5191.938416422287,585
335,5178.929411764706,586
336,5177.371681415929,586
337,5168.328402366864,586
338,5167.181008902077,586
339,5155.559523809524,587
340,5160.307462686567,590
341,5162.407185628743,591
342,5160.924924924925,593
343,5170.6024096385545,593
344,5160.8398791540785,593
345,5174.739393939394,593
346,5168.404255319149,593
347,5161.323170731707,595
348,5168.510703363914,595
349,5155.340490797546,595
350,5160.243076923077,595
351,5167.346749226006,595
352,5157.403726708075,596
353,5158.915887850468,596
354,5147.315625,596
355,5156.761755485893,596
356,5165.16037735849,596
357,5176.179810725552,596
358,5175.025316455696,596
359,5165.126984126984,597
360,5180.117834394904,597
361,5170.79552715655,597
362,5167.272435897436,597
363,5160.540192926045,597
364,5175.31935483871,597
365,5176.190938511327,598
366,5180.061688311688,598
367,5184.325732899023,598
368,5171.6209150326795,598
369,5187.52131147541,598
370,5202.789473684211,598
371,5211.897689768977,598
372,5214.64238410596,599
373,5222.405315614618,599
374,5230.283333333334,599
375,5238.7959866220735,599
376,5227.026845637584,599
377,5220.774410774411,599
378,5224.415540540541,600
379,5208.610169491525,602
380,5198.091836734694,602
381,5067.589743589743,602
382,5062.115089514066,602
383,5067.2467866323905,602
384,5079.701030927835,606
385,5052.760290556901,608
386,5085.583979328166,608
387,5080.852331606217,609
388,5092.898701298701,611
389,5090.908854166667,611
390,5087.749347258486,611
391,5087.11780104712,611
392,5090.6115485564305,611
393,5057.699052132702,621
394,5063.009501187648,623
395,5051.323809523809,624
396,5053.930787589499,624
397,5045.784722222223,625
398,5048.667464114833,625
399,5039.318944844124,628
400,5030.990384615385,629
401,5048.422705314009,629
402,5060.915048543689,629
403,5071.9294403892945,629
404,5066.558536585366,630
405,5060.667481662592,631
406,5061.0392156862745,632
407,5067.85257985258,633
408,5073.568238213399,633
409,5060.492610837438,633
410,5069.301234567901,634
411,5063.336633663366,634
412,5069.753731343284,634
413,5060.291770573566,634
414,5051.415,634
415,5059.285714285715,634
416,5058.70351758794,634
417,5062.581863979849,635
418,5053.64898989899,635
419,5048.670886075949,635
420,5057.502538071066,635
421,5057.70737913486,635
422,5058.877551020408,635
423,5109.676923076923,636
424,5104.1189427312775,637
425,5094.695364238411,637
426,5090.553097345132,650
427,5080.931263858093,652
428,5085.033333333334,653
429,5085.093541202673,653
430,5095.196428571428,653
431,5090.856823266219,655
432,5090.917040358744,657
433,5130.983333333334,658
434,5103.6177685950415,658
435,5097.302469135802,659
436,5108.62372188139,659
437,5094.062921348314,660
438,5086.54954954955,666
439,5085.512415349887,667
440,5075.3574660633485,667
441,5037.101204819277,668
442,5071.460317460317,668
443,5076.590909090909,669
444,5067.783599088838,669
445,5075.906392694064,669
446,5068.926773455378,669
447,5064.798165137615,669
448,5062.88275862069,669
449,5052.062211981567,669
450,5052.588914549654,670
451,5042.47331786543,670
452,5038.379069767442,670
453,5050.0792540792545,670
454,5038.841121495327,670
455,5029.826697892272,670
456,5041.450704225352,670
457,5037.5505882352945,671
458,5046.174528301887,671
459,5111.119433198381,671
460,5102.125498007968,671
461,5109.801192842942,672
462,5049.739952718676,673
463,5188.3132969034605,679
464,5195.3978102189785,681
465,5194.248628884827,683
466,5189.613553113553,689
467,5182.950458715596,698
468,5186.393382352941,703
469,5184.563535911602,704
470,5185.5977859778595,704
471,5177.053604436229,704
472,5178.957407407407,706
473,5171.768089053803,707
474,5179.834572490707,708
475,5182.061452513966,710
476,5174.046641791045,711
477,5179.689719626168,712
478,5182.676029962547,712
479,5178.110694183865,717
480,5179.5300751879695,718
481,5176.730696798493,720
482,5171.8792452830185,722
483,5157.254302103251,723
484,5164.51606805293,724
485,5161.126893939394,726
486,5159.0721062618595,728
487,5168.547528517111,730
488,5159.961904761904,733
489,5166.456106870229,734
490,5157.001915708813,736
491,5153.491362763915,736
492,5134.231968810916,737
493,5150.911538461539,738
494,5145.959537572255,739
495,5138.054054054054,739
496,5131.220502901354,744
497,5140.945736434109,744
498,5138.638834951456,744
499,5133.492217898833,744
500,5104.786427145708,744
501,5131.626953125,744
502,5126.639921722113,745
503,5117.511764705882,747
504,5120.055009823182,747
505,5125.407480314961,748
506,5122.887573964497,748
507,5121.948616600791,748
508,5117.679207920792,748
509,5119.164682539683,748
510,5113.4,749
511,5104.981963927856,749
512,5100.630522088353,749
513,5108.99597585513,749
514,5100.479838709677,749
515,5104.953535353536,750
516,5111.176470588235,750
517,5178.566037735849,751
518,5174.083904109589,751
519,5105.934020618557,757
520,5186.1672354948805,757
521,5119.428861788618,758
522,5184.492333901192,758
523,5110.651731160896,758
524,5116.777551020408,758
525,5190.833333333333,758
526,5105.686475409836,758
527,5098.211498973306,758
528,5109.39751552795,758
529,5114.603734439834,759
530,5121.75051975052,759
531,5131.8204592901875,763
532,5198.905084745763,764
533,5130.0962343096235,765
534,5121.243186582809,766
535,5128.144957983193,766
536,5134.418947368421,766
537,5138.567510548523,767
538,5134.6955602537,767
539,5126.483050847458,767
540,5116.76008492569,767
541,5110.906382978724,767
542,5100.946695095949,767
543,5093.192307692308,767
544,5089.599571734475,768
545,5082.05364806867,768
