Timestamp,Average latency (ms)
2017-08-19 11:56:09,988
2017-08-19 11:56:19,988
2017-08-19 11:56:29,988
2017-08-19 11:56:39,994
2017-08-19 11:56:49,989
2017-08-19 11:56:59,989
2017-08-19 11:57:10,69
2017-08-19 11:57:20,69
2017-08-19 11:57:30,70
2017-08-19 11:57:40,70
2017-08-19 11:57:50,71
2017-08-19 11:58:00,1047
2017-08-19 11:58:10,1047
2017-08-19 11:58:20,48
2017-08-19 11:58:30,49
2017-08-19 11:58:40,1050
2017-08-19 11:58:50,51
2017-08-19 11:59:00,1025
2017-08-19 11:59:10,1026
2017-08-19 11:59:20,1026
2017-08-19 11:59:30,26
2017-08-19 11:59:40,1027
2017-08-19 11:59:50,1028
2017-08-19 12:00:00,1009
2017-08-19 12:00:10,1006
2017-08-19 12:00:20,1006
2017-08-19 12:00:40,1007
2017-08-19 12:00:50,2006
2017-08-19 12:01:00,11007
