event count, avg, time spent
349,502899.61464815703, 2065
350,502097.0954653938, 2071
351,501802.82484531176, 2078
352,502310.7812055055, 2085
353,502196.54756270704, 2091
354,502567.3369513922, 2098
355,503092.53694117646, 2105
356,502709.5340215861, 2112
357,502931.4585868039, 2118
358,503233.79888007464, 2126
359,503254.0791065612, 2132
360,503078.5805104408, 2139
361,502651.451642758, 2146
362,503564.80203045683, 2152
363,503195.9857340083, 2159
364,503544.3363928408, 2166
365,503808.7057208238, 2173
366,503138.5157462346, 2179
367,503283.57168866636, 2186
368,503725.6314117113, 2193
369,503504.47940244456, 2200
370,503587.4090293454, 2207
371,503591.4916704187, 2214
372,503338.68387965875, 2221
373,503607.5799373041, 2227
374,503219.0719071014, 2235
375,503149.8191536748, 2241
376,503131.15459795645, 2249
377,503724.69118298625, 2255
378,503984.6694653115, 2262
379,504845.43102688406, 2270
380,504521.3112087912, 2277
381,503584.25120561157, 2284
382,502999.24792304327, 2291
383,502971.986916703, 2298
384,502413.5802522836, 2305
385,502404.5796095445, 2312
386,502329.48853310256, 2319
387,502355.10315062583, 2336
388,502952.6362462333, 2343
389,503233.8866466294, 2350
390,503315.43725910067, 2357
391,503558.8628791115, 2364
392,504023.1959948871, 2371
393,504169.35826604336, 2377
394,503778.85036032216, 2384
395,503540.63720930234, 2391
396,503194.44538169546, 2398
397,503131.5174589819, 2405
398,503205.89257238776, 2411
399,502835.5722059439, 2418
400,502925.62045929016, 2425
401,503220.3165347772, 2434
402,503771.0444536768, 2450
403,504316.7070037298, 2457
404,504263.89830508473, 2464
405,504979.4989690722, 2471
406,504976.2961744138, 2482
407,504879.2773902339, 2490
408,504852.7695456406, 2501
409,505674.2380563495, 2510
410,505792.19266802445, 2518
411,505266.06257618853, 2525
412,504981.0802594244, 2532
413,505069.2579862515, 2539
414,505117.3142396127, 2547
415,505753.9509054326, 2554
416,505715.7398635086, 2565
417,505280.97757308773, 2572
418,505512.8525769077, 2583
419,505835.571143882, 2591
420,506080.3992047714, 2605
421,505975.89488298295, 2614
422,505480.99604273844, 2622
423,505589.74101855507, 2629
424,505356.80897991336, 2637
425,505428.0624754421, 2647
426,505357.484123873, 2655
427,505076.7543996871, 2665
428,505023.6991806477, 2674
429,505120.23394316854, 2683
430,505262.5289320388, 2690
431,505505.4308407594, 2698
432,505216.58600695786, 2705
433,505298.74238333973, 2713
434,505038.79453636013, 2721
435,504991.46679462574, 2739
436,504815.7663730371, 2748
437,505034.7684371418, 2755
438,505484.06290507055, 2762
439,504982.4233548878, 2769
440,505021.2865275142, 2776
441,504746.64104505867, 2783
442,505052.52361163584, 2801
