event count, avg, time spent
445,500632.7775050111, 50243
446,500623.9114626638, 50352
447,500750.4023003969, 50461
448,500672.13934811304, 50567
449,500621.10678333073, 50673
450,500655.65749092447, 50775
451,500602.3682140397, 50891
452,500686.87621117046, 50998
453,500764.28862193314, 51104
454,500795.944879804, 51214
455,500759.44115768373, 51324
456,500707.52201050526, 51435
457,500761.7269358128, 51542
458,500815.2521607842, 51649
459,500796.7792624615, 51756
460,500766.22208666475, 51864
461,500658.8401991261, 51971
462,500724.009435804, 52077
463,500711.5584511158, 52183
464,500628.3909418803, 52292
465,500759.29704101203, 52405
466,500707.761037397, 52512
467,500813.8376000515, 52627
468,500776.6363889424, 52733
469,500775.8511356595, 52840
470,500751.3954073474, 52949
471,500712.1998680879, 53057
472,500705.1610581516, 53164
473,500733.65814283595, 53270
474,500757.7345299254, 53379
475,500659.05898609734, 53488
476,500678.50190522306, 53595
477,500662.19039515976, 53703
478,500597.6051864741, 53806
479,500674.52176732704, 53918
480,500621.8361412079, 54027
481,500652.71867252764, 54134
482,500598.4657699424, 54242
483,500358.18713304703, 54348
484,500361.35997184325, 54459
485,500397.6285200719, 54568
486,500352.8741469248, 54676
487,500366.7179070389, 54780
488,500394.240487875, 54890
489,500447.3421446282, 54993
490,500454.9974233656, 55104
491,500394.5574171956, 55214
492,500405.94725158345, 55323
493,500426.7070791244, 55431
494,500507.7888278128, 55535
495,500606.6130847554, 55647
496,500703.33728611545, 55754
497,500713.8288340961, 55862
498,500767.40701394336, 55964
499,500808.4440473083, 56080
500,500798.59648103244, 56191
501,500859.08351832966, 56299
502,500895.21352867206, 56408
503,500814.2624848111, 56521
504,500877.4982803523, 56626
505,500878.5738775024, 56733
506,500870.40518009546, 56842
507,500892.5983676212, 56950
508,500887.0869213625, 57059
509,500790.65093206824, 57166
510,500749.0518653857, 57275
511,500809.6941432521, 57383
512,500776.3056495959, 57491
513,500862.5744809672, 57598
514,500935.4122336797, 57708
515,500877.1533433202, 57816
516,500873.62381312985, 57923
517,500829.3671440476, 58030
518,500889.3807276455, 58141
519,500803.3009401363, 58252
520,500710.76788501185, 58366
521,500711.94596257765, 58472
522,500703.0772537955, 58581
523,500702.3913909695, 58688
524,500759.3722108564, 58795
525,500807.718574073, 58902
526,500795.49764766387, 59011
527,500810.7479705709, 59118
528,500759.4689284833, 59224
529,500683.71521372703, 59329
530,500669.65981739474, 59437
531,500579.15352540516, 59544
532,500538.8809626937, 59657
533,500608.41685306665, 59773
534,500715.1594153956, 59880
535,500687.3572217749, 59988
