Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 137, maxHumidity : 983692, timeSpent : 14876
     [java] Event: count : 138, maxHumidity : 983692, timeSpent : 14987
     [java] Event: count : 139, maxHumidity : 983692, timeSpent : 15098
     [java] Event: count : 140, maxHumidity : 983692, timeSpent : 15205
     [java] Event: count : 141, maxHumidity : 983692, timeSpent : 15313
     [java] Event: count : 142, maxHumidity : 983692, timeSpent : 15424
     [java] Event: count : 143, maxHumidity : 983692, timeSpent : 15536
     [java] Event: count : 144, maxHumidity : 983692, timeSpent : 15647
     [java] Event: count : 145, maxHumidity : 987150, timeSpent : 15758
     [java] Event: count : 146, maxHumidity : 987150, timeSpent : 15869
     [java] Event: count : 147, maxHumidity : 987150, timeSpent : 15983
     [java] Event: count : 148, maxHumidity : 987150, timeSpent : 16095
     [java] Event: count : 149, maxHumidity : 987150, timeSpent : 16205
     [java] Event: count : 150, maxHumidity : 987150, timeSpent : 16317
     [java] Event: count : 151, maxHumidity : 987150, timeSpent : 16427
     [java] Event: count : 152, maxHumidity : 987150, timeSpent : 16539
     [java] Event: count : 153, maxHumidity : 987150, timeSpent : 16650
     [java] Event: count : 154, maxHumidity : 987150, timeSpent : 16762
     [java] Event: count : 155, maxHumidity : 987150, timeSpent : 16874
     [java] Event: count : 156, maxHumidity : 987150, timeSpent : 16985
     [java] Event: count : 157, maxHumidity : 987150, timeSpent : 17097
     [java] Event: count : 158, maxHumidity : 987150, timeSpent : 17208
     [java] Event: count : 159, maxHumidity : 987150, timeSpent : 17316
     [java] Event: count : 160, maxHumidity : 987150, timeSpent : 17428
     [java] Event: count : 161, maxHumidity : 987150, timeSpent : 17537
