event count, max, time spent
155,987150, 16874
156,987150, 16985
157,987150, 17097
158,987150, 17208
159,987150, 17316
160,987150, 17428
161,987150, 17537
162,987150, 17646
163,987150, 17755
164,987150, 17866
165,987150, 17977
166,987150, 18089
167,987150, 18200
168,987150, 18311
169,987150, 18422
170,987150, 18534
171,987150, 18651
172,987150, 18768
173,987150, 18886
174,987150, 19002
175,987150, 19118
176,987150, 19229
177,987150, 19340
178,987150, 19451
179,987150, 19562
180,987150, 19674
181,987150, 19786
182,987150, 19896
183,987150, 20010
184,987150, 20127
185,987150, 20243
186,987150, 20363
187,987150, 20481
188,987150, 20593
189,987150, 20711
190,987150, 20823
191,987150, 20933
192,987150, 21045
193,987150, 21157
194,987150, 21270
195,987150, 21380
196,987150, 21497
197,987150, 21604
198,987150, 21721
199,987150, 21830
200,987150, 21941
201,987150, 22053
202,987150, 22163
203,987150, 22274
204,987150, 22385
205,987150, 22497
206,987150, 22609
207,987150, 22721
208,987150, 22831
209,987150, 22943
210,987150, 23054
211,987150, 23165
212,987150, 23276
213,987150, 23388
214,987150, 23501
215,987150, 23616
216,987150, 23734
217,987150, 23845
218,987150, 23956
219,987150, 24072
220,987150, 24184
221,987150, 24296
222,987150, 24407
223,987150, 24521
224,987150, 24632
225,987150, 24743
226,987150, 24854
227,987150, 24965
228,987150, 25076
229,987150, 25187
230,987150, 25300
231,987150, 25410
232,987150, 25521
233,987150, 25631
234,987150, 25742
235,987150, 25854
236,987150, 25963
237,987150, 26074
238,987150, 26184
239,987150, 26296
240,987150, 26409
241,987150, 26520
242,987150, 26638
243,987150, 26755
244,987150, 26873
245,987150, 26986
246,987150, 27099
247,987150, 27210
248,987150, 27320
249,987150, 27432
250,987150, 27543
251,987150, 27655
252,987150, 27766
253,987150, 27878
254,987150, 27989
255,987150, 28105
256,987150, 28218
257,987150, 28331
258,987150, 28451
259,987150, 28567
260,987150, 28685
261,987150, 28802
262,987150, 28920
263,987150, 29034
264,987150, 29147
265,987150, 29256
266,987150, 29366
267,987150, 29476
268,987150, 29585
269,987150, 29696
270,987150, 29811
271,987150, 29929
272,987150, 30038
273,987150, 30155
274,987150, 30272
275,987150, 30385
276,987150, 30502
277,992242, 30619
278,992242, 30733
279,992242, 30847
280,992242, 30964
281,992242, 31083
282,992242, 31201
283,992242, 31318
284,992242, 31437
285,992242, 31555
286,992242, 31672
287,992242, 31790
288,992242, 31908
289,992242, 32026
290,992242, 32143
291,992242, 32261
292,992242, 32378
293,992242, 32510
294,992242, 32620
295,992242, 32738
296,992242, 32855
297,992242, 32972
298,992242, 33089
299,992242, 33206
300,992242, 33323
301,992242, 33441
302,992242, 33558
303,992242, 33676
304,992242, 33793
305,992242, 33911
306,992242, 34027
307,992242, 34144
308,992242, 34262
309,992242, 34378
310,992242, 34496
311,992242, 34613
312,992242, 34730
313,992242, 34848
314,992242, 34967
315,992242, 35083
316,992242, 35200
317,992242, 35317
318,992242, 35435
319,992242, 35551
320,992242, 35667
321,992242, 35785
322,992242, 35902
323,992242, 36019
324,992242, 36136
325,992242, 36253
326,992242, 36371
327,992242, 36489
328,992242, 36607
329,992242, 36724
330,992242, 36842
331,992242, 36959
332,992242, 37076
333,992242, 37193
334,992242, 37312
335,992242, 37429
336,992242, 37548
337,992242, 37665
338,992242, 37783
339,992242, 37900
340,992242, 38016
341,992242, 38133
342,992242, 38250
343,992242, 38368
344,992242, 38486
345,992242, 38604
346,992242, 38722
347,992242, 38840
348,992242, 38958
349,992242, 39075
350,992242, 39196
351,992242, 39311
352,992242, 39429
353,992242, 39547
354,992242, 39665
355,992242, 39783
356,992242, 39899
